Time(s);IntInt
0.00;43.95
3.00;43.62
6.00;59.24
9.00;58.02
12.00;54.93
15.00;63.56
18.00;58.92
21.00;56.88
24.00;62.41
27.00;64.58
30.00;67.88
33.00;56.58
36.00;58.51
39.00;60.87
42.00;57.62
45.00;58.77
48.00;55.01
51.00;54.54
54.00;52.32
57.00;55.97
60.00;53.80
63.00;52.23
66.00;55.69
69.00;55.71
72.00;51.58
75.00;53.42
78.00;55.42
81.00;54.36
84.00;50.17
87.00;40.70
90.00;43.39
93.00;41.97
96.00;45.43
99.00;45.78
102.00;40.33
105.00;41.59
108.00;38.31
111.00;39.52
114.00;44.08
117.00;39.58
120.00;49.16
123.00;46.81
126.00;56.03
129.00;56.27
132.00;51.60
135.00;44.83
138.00;53.94
141.00;39.74
144.00;47.20
147.00;43.93
150.00;44.98
153.00;53.10
156.00;54.71
159.00;50.94
162.00;50.85
165.00;51.63
168.00;53.52
171.00;54.67
174.00;54.77
177.00;57.56
180.00;62.21
183.00;55.47
186.00;54.28
189.00;57.37
192.00;60.23
195.00;57.82
198.00;56.70
201.00;63.19
204.00;64.36
207.00;70.46
210.00;61.56
213.00;66.22
216.00;62.07
219.00;69.76
222.00;69.22
225.00;66.42
228.00;64.66
231.00;73.72
234.00;69.52
237.00;68.88
240.00;65.78
243.00;73.06
246.00;64.75
249.00;66.79
252.00;57.06
255.00;58.35
258.00;58.26
261.00;68.94
264.00;68.09
267.00;61.95
270.00;70.56
273.00;65.69
276.00;63.91
279.00;58.62
282.00;51.31
285.00;60.70
288.00;59.62
291.00;62.14
294.00;55.26
297.00;52.70
300.00;62.53
303.00;53.29
306.00;48.66
309.00;57.62
312.00;62.15
315.00;60.46
318.00;57.94
321.00;61.05
324.00;55.70
327.00;63.24
330.00;50.16
333.00;52.88
336.00;50.46
339.00;47.04
342.00;48.09
345.00;48.67
348.00;53.58
351.00;52.29
354.00;57.02
357.00;57.65
360.00;53.40
363.00;56.66
366.00;54.87
369.00;57.77
372.00;52.44
375.00;51.37
378.00;59.87
381.00;58.54
384.00;55.60
387.00;53.34
390.00;49.63
393.00;59.18
396.00;59.48
399.00;51.85
402.00;60.17
405.00;58.90
408.00;64.18
411.00;61.47
