Time(s);IntInt
1173.00;25.05
1176.00;23.93
1179.00;25.23
1182.00;25.05
1185.00;26.64
1188.00;23.73
1191.00;21.65
1194.00;23.30
1197.00;22.51
1200.00;21.71
1203.00;24.49
1206.00;21.83
1209.00;20.38
1212.00;22.54
1215.00;20.86
1218.00;19.46
1221.00;19.83
1224.00;24.40
1227.00;18.77
1230.00;21.60
1233.00;20.45
1236.00;17.09
1239.00;18.24
1242.00;20.98
1245.00;23.77
1248.00;23.43
1251.00;18.80
1254.00;18.21
1257.00;21.13
1260.00;22.62
1263.00;20.57
1266.00;23.35
1269.00;21.00
1272.00;20.46
1275.00;20.26
1278.00;22.64
1281.00;21.25
1284.00;21.22
1287.00;20.49
1290.00;22.11
1293.00;22.50
1296.00;21.67
1299.00;19.48
1302.00;18.35
1305.00;15.26
1308.00;17.38
1311.00;18.40
1314.00;15.42
1317.00;14.63
1320.00;15.95
1323.00;15.05
1326.00;16.96
1329.00;15.94
1332.00;17.81
1335.00;20.94
1338.00;18.10
1341.00;19.54
1344.00;19.10
1347.00;20.03
1350.00;21.09
1353.00;20.18
1356.00;22.52
1359.00;18.21
1362.00;17.45
1365.00;21.09
1368.00;20.99
1371.00;19.72
1374.00;19.47
1377.00;18.01
1380.00;19.53
1383.00;22.32
1386.00;24.04
1389.00;22.69
1392.00;21.94
1395.00;20.94
1398.00;21.40
1401.00;22.11
1404.00;20.26
1407.00;20.41
1410.00;25.83
1413.00;18.45
1416.00;19.64
1419.00;20.71
1422.00;20.83
1425.00;19.89
1428.00;18.43
1431.00;17.16
1434.00;19.98
1437.00;18.64
1440.00;17.49
1443.00;17.59
1446.00;18.79
1449.00;19.71
1452.00;19.22
1455.00;16.76
1458.00;16.93
1461.00;20.66
1464.00;20.63
1467.00;15.99
1470.00;17.98
1473.00;19.61
1476.00;20.04
1479.00;18.60
1482.00;18.12
1485.00;18.61
1488.00;21.87
1491.00;19.30
1494.00;17.74
1497.00;18.46
1500.00;19.09
1503.00;18.27
1506.00;18.33
1509.00;16.23
1512.00;17.98
1515.00;18.88
1518.00;16.62
1521.00;17.62
1524.00;18.19
1527.00;18.01
1530.00;19.52
1533.00;18.93
1536.00;16.36
1539.00;15.54
1542.00;17.96
1545.00;14.58
1548.00;13.04
1551.00;16.80
1554.00;17.39
1557.00;17.27
1560.00;18.68
1563.00;18.28
1566.00;20.52
1569.00;18.74
1572.00;17.52
1575.00;14.73
1578.00;15.23
1581.00;16.65
1584.00;16.42
1587.00;19.05
1590.00;18.79
