Time(s);IntInt
0.00;4.50
3.00;0.86
6.00;1.55
9.00;3.07
12.00;2.72
15.00;4.95
18.00;0.92
21.00;3.73
24.00;2.82
27.00;3.85
30.00;2.79
33.00;4.13
36.00;4.03
39.00;2.40
42.00;5.52
45.00;6.59
48.00;6.15
51.00;10.65
54.00;7.51
57.00;8.55
60.00;5.21
63.00;9.91
66.00;8.16
69.00;11.33
72.00;10.07
75.00;10.16
78.00;11.81
81.00;11.63
84.00;12.46
87.00;12.03
90.00;12.22
93.00;13.68
96.00;16.51
99.00;16.60
102.00;17.12
105.00;14.93
108.00;17.71
111.00;15.59
114.00;16.91
117.00;18.46
120.00;20.47
123.00;17.93
126.00;18.94
129.00;19.43
132.00;22.85
135.00;19.40
138.00;22.34
141.00;22.37
144.00;24.19
147.00;20.88
150.00;23.16
153.00;19.16
156.00;23.16
159.00;21.38
162.00;22.67
165.00;22.89
168.00;23.09
171.00;23.36
174.00;22.60
177.00;25.77
180.00;25.48
183.00;26.68
186.00;26.43
189.00;28.67
192.00;29.41
195.00;26.36
198.00;30.56
201.00;27.63
204.00;28.53
207.00;27.40
210.00;33.58
213.00;31.19
216.00;34.58
219.00;30.33
222.00;29.31
225.00;28.40
228.00;32.74
231.00;28.77
234.00;31.50
237.00;28.58
240.00;30.73
243.00;29.54
246.00;29.90
249.00;35.96
252.00;30.52
255.00;33.05
258.00;31.36
261.00;34.75
264.00;36.36
267.00;35.70
270.00;32.66
273.00;34.42
276.00;36.76
279.00;37.59
282.00;37.45
285.00;36.78
288.00;34.38
291.00;36.97
294.00;37.87
297.00;39.02
300.00;39.22
303.00;41.63
306.00;44.52
309.00;43.30
312.00;43.22
315.00;45.51
318.00;37.81
321.00;36.28
324.00;38.43
327.00;38.74
330.00;39.64
333.00;43.19
336.00;36.38
339.00;40.46
342.00;37.83
345.00;37.24
348.00;35.83
351.00;36.89
354.00;34.02
357.00;42.33
360.00;38.86
363.00;35.13
366.00;38.42
369.00;39.84
372.00;37.31
375.00;37.09
378.00;33.91
381.00;34.07
384.00;32.83
387.00;33.01
390.00;29.68
393.00;28.42
396.00;33.14
399.00;33.52
402.00;35.30
405.00;37.56
408.00;39.86
411.00;37.34
414.00;36.33
417.00;39.46
420.00;40.48
423.00;36.76
426.00;37.10
429.00;29.63
432.00;38.07
435.00;34.79
438.00;38.38
441.00;37.76
444.00;33.29
447.00;34.57
450.00;36.64
453.00;35.84
456.00;35.08
459.00;31.61
462.00;28.23
465.00;35.10
468.00;35.64
471.00;33.48
474.00;32.10
477.00;32.87
480.00;30.38
483.00;31.43
486.00;33.29
489.00;34.44
492.00;33.75
495.00;34.94
498.00;34.68
501.00;34.08
504.00;33.60
507.00;33.13
510.00;29.71
513.00;31.25
516.00;32.81
519.00;32.65
522.00;32.84
525.00;30.95
528.00;29.21
531.00;34.36
534.00;33.61
537.00;33.72
540.00;33.16
543.00;33.66
546.00;30.44
549.00;37.52
552.00;35.50
555.00;37.02
558.00;32.67
561.00;35.45
564.00;31.33
567.00;37.20
570.00;35.86
573.00;35.34
576.00;33.34
579.00;40.70
582.00;38.13
585.00;46.17
588.00;43.55
591.00;43.98
594.00;39.46
597.00;42.66
600.00;37.74
603.00;40.73
606.00;38.76
609.00;42.05
612.00;32.41
615.00;31.15
618.00;33.54
621.00;35.97
624.00;28.28
627.00;29.68
630.00;37.02
633.00;34.95
636.00;32.37
639.00;35.21
642.00;30.49
645.00;30.53
648.00;35.13
651.00;36.26
654.00;35.99
657.00;35.16
660.00;32.00
663.00;30.48
666.00;25.97
669.00;29.82
672.00;33.14
675.00;26.09
678.00;30.08
681.00;30.09
684.00;31.35
687.00;29.14
690.00;26.78
693.00;25.17
696.00;27.81
699.00;33.11
702.00;29.23
705.00;21.51
708.00;27.91
711.00;31.36
714.00;34.48
717.00;31.87
720.00;30.86
723.00;33.36
726.00;31.91
729.00;34.65
732.00;34.51
735.00;37.51
738.00;40.20
741.00;44.66
744.00;40.87
747.00;39.98
750.00;36.47
753.00;35.23
756.00;34.58
759.00;30.58
762.00;29.10
765.00;30.59
768.00;29.83
771.00;28.03
774.00;26.30
777.00;27.01
780.00;22.74
783.00;29.21
786.00;22.64
789.00;25.03
792.00;24.43
795.00;24.35
798.00;18.77
