Time(s);IntInt
0.00;29.62
3.00;30.11
6.00;32.77
9.00;28.86
12.00;29.12
15.00;31.10
18.00;28.10
21.00;31.34
24.00;34.55
27.00;34.04
30.00;32.32
33.00;31.96
36.00;31.66
39.00;28.74
42.00;33.96
45.00;30.37
48.00;32.63
51.00;29.30
54.00;35.56
57.00;31.27
60.00;34.86
63.00;34.10
66.00;36.62
69.00;37.98
72.00;33.07
75.00;35.97
78.00;38.51
81.00;37.78
84.00;36.25
87.00;40.83
90.00;39.34
93.00;39.47
96.00;42.91
99.00;38.50
102.00;40.42
105.00;34.34
108.00;39.23
111.00;36.36
114.00;33.31
117.00;32.86
120.00;34.73
123.00;36.63
126.00;35.14
129.00;37.29
132.00;37.70
135.00;37.68
138.00;34.29
141.00;39.53
144.00;34.40
147.00;33.50
150.00;38.14
153.00;34.24
156.00;38.39
159.00;31.14
162.00;36.54
165.00;34.07
168.00;34.68
171.00;32.53
174.00;32.90
177.00;32.22
180.00;37.66
183.00;31.83
186.00;33.21
189.00;33.49
192.00;31.52
195.00;33.96
198.00;34.18
201.00;31.51
204.00;33.68
207.00;29.56
210.00;28.03
213.00;27.65
216.00;26.73
219.00;27.07
222.00;26.01
225.00;25.75
228.00;31.39
231.00;28.41
234.00;27.83
237.00;27.76
240.00;27.56
243.00;22.32
246.00;24.44
249.00;23.52
252.00;24.34
255.00;20.61
258.00;19.36
261.00;18.78
264.00;19.77
267.00;20.17
270.00;20.54
273.00;17.56
276.00;16.40
279.00;14.75
282.00;16.35
285.00;15.78
288.00;17.29
291.00;19.58
294.00;19.12
297.00;19.61
300.00;27.20
303.00;28.16
306.00;27.09
309.00;28.12
312.00;27.88
315.00;25.22
318.00;24.44
321.00;21.99
324.00;22.46
327.00;20.81
330.00;26.44
333.00;23.33
336.00;24.29
339.00;24.59
342.00;27.88
345.00;30.94
348.00;29.64
351.00;30.99
354.00;32.86
357.00;24.98
360.00;28.63
363.00;25.84
366.00;29.89
369.00;29.38
372.00;30.09
375.00;27.70
378.00;30.97
381.00;31.42
384.00;26.71
387.00;28.01
390.00;25.75
393.00;24.43
396.00;25.33
399.00;27.05
402.00;25.66
405.00;27.94
408.00;27.04
411.00;24.46
414.00;23.83
417.00;23.10
420.00;20.95
423.00;20.26
426.00;22.21
429.00;21.79
432.00;23.40
435.00;25.81
438.00;26.03
441.00;26.07
444.00;24.53
447.00;25.41
450.00;25.16
453.00;26.12
456.00;24.72
459.00;20.96
462.00;19.92
465.00;20.22
468.00;21.22
471.00;20.66
474.00;21.86
477.00;21.21
480.00;19.20
483.00;16.71
486.00;19.72
489.00;21.79
492.00;17.29
495.00;16.26
498.00;16.17
501.00;17.64
504.00;16.25
507.00;14.78
510.00;13.31
513.00;15.82
516.00;15.45
519.00;15.51
522.00;13.56
525.00;15.58
528.00;13.36
531.00;14.98
534.00;14.40
537.00;15.23
540.00;12.59
543.00;13.11
546.00;15.55
549.00;12.40
552.00;10.79
555.00;12.42
558.00;10.82
561.00;15.34
564.00;14.15
567.00;13.21
570.00;11.69
573.00;12.65
576.00;13.35
579.00;12.55
582.00;11.38
585.00;12.50
588.00;12.48
591.00;13.21
594.00;12.19
597.00;13.66
600.00;13.62
603.00;12.70
606.00;12.98
609.00;16.53
612.00;14.27
615.00;14.42
618.00;13.35
621.00;12.83
624.00;11.86
627.00;15.16
630.00;12.38
633.00;13.56
636.00;12.02
639.00;15.53
642.00;17.09
645.00;19.27
648.00;20.79
651.00;20.90
654.00;19.38
657.00;18.75
660.00;17.94
663.00;21.57
666.00;19.97
669.00;21.76
672.00;23.52
675.00;25.74
678.00;24.80
681.00;23.22
684.00;21.23
687.00;25.07
690.00;25.90
693.00;25.23
696.00;19.69
699.00;23.62
702.00;24.49
705.00;25.13
708.00;26.80
711.00;25.30
714.00;24.40
717.00;24.22
720.00;27.80
723.00;21.81
726.00;24.15
729.00;24.95
732.00;21.34
735.00;22.41
738.00;22.64
741.00;26.14
744.00;24.41
747.00;22.62
750.00;26.07
753.00;23.84
756.00;26.01
759.00;26.49
762.00;25.54
765.00;25.09
768.00;26.98
771.00;27.04
774.00;25.18
777.00;25.73
780.00;26.40
783.00;29.00
786.00;27.80
789.00;24.03
792.00;30.02
795.00;26.04
798.00;28.27
801.00;28.62
804.00;28.09
807.00;33.96
810.00;31.04
813.00;27.59
