Time(s);IntInt
0.00;27.75
3.00;26.11
6.00;27.73
9.00;22.86
12.00;24.50
15.00;26.36
18.00;26.51
21.00;25.33
24.00;22.84
27.00;24.07
30.00;20.55
33.00;26.95
36.00;25.24
39.00;24.75
42.00;23.74
45.00;21.17
48.00;21.43
51.00;22.58
54.00;23.69
57.00;23.41
60.00;19.80
63.00;19.12
66.00;23.94
69.00;22.44
72.00;24.85
75.00;23.59
78.00;20.33
81.00;24.23
84.00;21.45
87.00;20.06
90.00;20.16
93.00;26.01
96.00;26.90
99.00;23.06
102.00;20.97
105.00;28.62
108.00;22.94
111.00;20.29
114.00;17.20
117.00;23.28
120.00;22.68
123.00;23.86
126.00;24.79
129.00;22.40
132.00;23.88
135.00;24.88
138.00;24.42
141.00;27.83
144.00;26.60
147.00;30.56
150.00;28.80
153.00;17.57
156.00;21.74
159.00;24.87
162.00;24.04
165.00;22.58
168.00;20.73
171.00;19.85
174.00;21.53
177.00;18.76
180.00;24.01
183.00;22.90
186.00;22.40
189.00;23.52
192.00;24.85
195.00;26.38
198.00;26.64
201.00;24.78
204.00;24.81
207.00;25.16
210.00;27.29
213.00;25.87
216.00;27.87
219.00;28.10
222.00;25.33
225.00;24.70
228.00;26.97
231.00;23.72
234.00;24.22
237.00;24.72
240.00;26.29
243.00;22.57
246.00;21.63
249.00;24.71
252.00;23.39
255.00;24.85
258.00;25.94
261.00;28.25
264.00;22.88
267.00;21.27
270.00;28.23
273.00;26.68
276.00;26.95
279.00;23.65
282.00;22.01
285.00;24.39
288.00;18.71
291.00;16.43
294.00;21.53
297.00;21.47
300.00;26.13
303.00;25.40
306.00;18.63
309.00;23.45
312.00;23.26
315.00;22.39
318.00;20.31
321.00;24.31
324.00;22.61
327.00;21.06
330.00;20.38
333.00;23.46
336.00;20.17
339.00;25.50
342.00;21.91
345.00;20.68
348.00;19.49
351.00;18.58
354.00;20.40
357.00;22.34
360.00;19.32
363.00;26.36
366.00;15.02
369.00;15.07
372.00;24.74
375.00;21.00
378.00;22.23
381.00;22.23
384.00;17.74
387.00;24.30
390.00;15.61
393.00;18.35
396.00;17.12
399.00;23.85
402.00;20.04
405.00;16.25
408.00;18.81
411.00;17.58
414.00;14.44
417.00;15.25
420.00;17.45
423.00;19.22
426.00;19.91
429.00;20.94
432.00;11.97
435.00;16.33
438.00;12.04
441.00;12.73
444.00;12.26
447.00;15.15
450.00;12.83
453.00;15.85
456.00;24.38
459.00;28.45
462.00;27.09
465.00;23.83
468.00;23.21
471.00;18.32
474.00;23.05
477.00;24.49
480.00;27.98
483.00;27.44
486.00;27.26
489.00;25.87
492.00;26.16
495.00;30.45
498.00;27.27
501.00;28.88
504.00;31.59
507.00;30.01
510.00;32.20
513.00;30.15
516.00;31.54
519.00;33.85
522.00;35.89
525.00;32.81
528.00;31.74
531.00;35.21
534.00;34.08
537.00;35.23
540.00;36.06
543.00;36.14
546.00;32.21
549.00;32.89
552.00;33.79
555.00;33.68
558.00;30.49
561.00;29.06
564.00;27.06
567.00;26.87
570.00;29.88
573.00;31.40
576.00;29.79
579.00;29.00
582.00;27.39
585.00;29.45
588.00;29.31
591.00;28.91
594.00;30.90
597.00;26.04
600.00;26.47
603.00;26.40
606.00;28.59
609.00;26.90
612.00;25.08
615.00;27.40
618.00;26.08
621.00;27.06
624.00;24.14
627.00;24.95
630.00;23.71
633.00;23.96
636.00;21.82
639.00;24.21
642.00;23.87
645.00;24.39
648.00;22.43
651.00;22.74
654.00;22.99
657.00;19.86
660.00;20.06
663.00;20.33
666.00;18.43
669.00;22.61
672.00;23.77
675.00;20.70
678.00;20.83
681.00;11.03
