Time(s);IntInt
0.00;33.56
3.00;38.91
6.00;37.05
9.00;37.15
12.00;47.40
15.00;44.70
18.00;49.69
21.00;49.21
24.00;53.45
27.00;47.54
30.00;49.89
33.00;49.44
36.00;43.66
39.00;42.90
42.00;42.19
45.00;37.56
48.00;37.59
51.00;41.66
54.00;43.70
57.00;36.81
60.00;43.08
63.00;42.00
66.00;51.67
69.00;49.77
72.00;50.01
75.00;44.99
78.00;49.07
81.00;48.90
84.00;44.67
87.00;46.22
90.00;48.18
93.00;46.17
96.00;35.60
99.00;35.69
102.00;39.55
105.00;39.09
108.00;31.70
111.00;37.27
114.00;37.08
117.00;40.82
120.00;39.60
123.00;36.42
126.00;41.52
129.00;43.44
132.00;39.02
135.00;41.04
138.00;44.75
141.00;41.78
144.00;37.91
147.00;41.20
150.00;45.91
153.00;40.57
156.00;39.08
159.00;39.60
162.00;37.42
165.00;40.49
168.00;41.14
171.00;39.17
174.00;38.27
177.00;40.20
180.00;37.19
183.00;35.01
186.00;38.59
189.00;28.95
192.00;36.29
195.00;27.71
198.00;34.32
201.00;30.25
204.00;33.52
207.00;30.52
210.00;31.71
213.00;29.91
216.00;32.57
219.00;31.75
222.00;27.58
225.00;34.94
228.00;34.10
231.00;32.82
234.00;35.30
237.00;33.36
240.00;36.19
243.00;35.41
246.00;35.31
249.00;38.50
252.00;40.36
255.00;40.16
258.00;41.08
261.00;38.90
264.00;39.63
267.00;43.89
270.00;40.97
273.00;40.07
276.00;37.23
279.00;28.33
282.00;37.21
285.00;32.31
288.00;32.57
291.00;37.47
294.00;37.91
297.00;40.38
300.00;36.05
303.00;31.27
306.00;27.14
309.00;34.84
312.00;37.62
315.00;35.05
318.00;39.48
321.00;35.71
324.00;33.37
327.00;41.38
330.00;42.12
333.00;39.46
336.00;38.64
339.00;36.72
342.00;31.49
345.00;36.99
348.00;35.85
351.00;41.53
354.00;43.45
357.00;39.08
360.00;39.08
363.00;38.23
366.00;46.51
369.00;37.25
372.00;35.95
375.00;30.68
378.00;40.44
381.00;37.56
384.00;47.05
387.00;44.17
390.00;39.67
393.00;38.49
396.00;44.38
399.00;37.52
402.00;36.49
405.00;33.58
408.00;28.24
411.00;37.63
414.00;35.30
417.00;38.16
420.00;37.75
423.00;35.67
426.00;34.91
429.00;33.93
432.00;32.27
435.00;31.04
438.00;32.27
441.00;35.49
444.00;32.11
447.00;35.65
450.00;38.35
453.00;34.45
456.00;38.78
459.00;34.82
462.00;36.31
465.00;32.73
468.00;35.31
471.00;30.43
474.00;32.18
477.00;38.44
480.00;29.71
483.00;25.35
486.00;27.91
489.00;28.75
492.00;29.14
495.00;27.72
498.00;30.69
501.00;27.26
504.00;31.51
507.00;28.40
510.00;27.07
513.00;27.78
516.00;27.58
519.00;28.84
522.00;25.93
525.00;28.69
528.00;24.28
531.00;22.62
534.00;23.64
537.00;23.24
540.00;24.80
543.00;31.65
546.00;30.48
549.00;33.49
552.00;39.84
555.00;29.32
558.00;35.65
561.00;32.16
564.00;36.25
567.00;32.99
570.00;37.05
573.00;36.43
576.00;30.30
579.00;26.54
582.00;31.15
585.00;32.01
588.00;27.19
591.00;30.16
594.00;26.96
597.00;27.78
600.00;34.77
603.00;32.43
606.00;26.95
609.00;30.70
612.00;29.87
615.00;32.56
618.00;29.18
621.00;32.48
624.00;30.96
627.00;27.21
630.00;26.02
633.00;28.51
636.00;26.41
639.00;23.92
642.00;26.09
645.00;23.77
648.00;29.92
651.00;27.77
654.00;27.25
657.00;25.02
660.00;26.92
663.00;27.01
666.00;23.33
669.00;25.67
672.00;28.35
675.00;27.53
678.00;19.65
681.00;24.26
684.00;15.05
687.00;23.25
690.00;21.12
693.00;22.29
696.00;27.39
699.00;21.52
702.00;20.65
705.00;23.33
708.00;22.78
711.00;23.95
714.00;14.99
717.00;18.11
720.00;24.04
723.00;22.29
726.00;23.26
729.00;25.45
732.00;24.25
735.00;20.10
738.00;22.23
741.00;20.78
744.00;23.05
747.00;18.66
750.00;17.98
753.00;17.85
756.00;19.21
759.00;19.74
762.00;23.96
765.00;18.87
768.00;22.26
771.00;21.45
774.00;11.39
777.00;19.70
780.00;20.42
783.00;21.51
786.00;24.12
789.00;18.65
792.00;23.53
795.00;19.34
798.00;23.80
801.00;28.24
804.00;28.16
807.00;27.49
810.00;34.31
813.00;33.02
816.00;25.67
819.00;27.13
822.00;29.61
825.00;32.06
828.00;28.52
831.00;29.16
834.00;36.22
837.00;28.32
840.00;28.79
843.00;27.42
846.00;34.32
849.00;30.11
852.00;30.18
855.00;33.46
858.00;29.55
861.00;35.61
864.00;36.77
867.00;41.17
870.00;35.98
873.00;33.47
876.00;43.92
879.00;45.48
882.00;34.49
885.00;37.61
888.00;27.90
891.00;35.42
894.00;34.25
897.00;37.80
900.00;37.38
903.00;34.19
906.00;36.93
909.00;45.26
912.00;38.11
915.00;45.84
918.00;44.31
921.00;41.18
924.00;38.15
927.00;35.59
930.00;35.06
933.00;36.19
936.00;33.33
939.00;42.22
942.00;36.83
945.00;37.97
948.00;40.59
951.00;36.69
954.00;36.07
957.00;35.23
960.00;37.28
963.00;37.90
966.00;35.31
969.00;32.64
972.00;39.21
975.00;37.97
978.00;32.76
