Time(s);IntInt
0.00;16.15
3.00;15.25
6.00;14.94
9.00;15.05
12.00;15.64
15.00;14.62
18.00;14.86
21.00;14.90
24.00;15.04
27.00;14.39
30.00;14.08
33.00;15.22
36.00;13.24
39.00;13.13
42.00;11.91
45.00;12.42
48.00;11.46
51.00;12.48
54.00;11.28
57.00;11.51
60.00;10.32
63.00;12.72
66.00;12.87
69.00;12.31
72.00;11.38
75.00;12.38
78.00;13.23
81.00;11.19
84.00;10.46
87.00;12.15
90.00;9.63
93.00;10.97
96.00;8.89
99.00;10.52
102.00;12.85
105.00;13.51
108.00;13.51
111.00;13.33
114.00;13.87
117.00;13.38
120.00;13.03
123.00;13.69
126.00;13.56
129.00;14.15
132.00;14.87
135.00;13.60
138.00;12.75
141.00;13.83
144.00;14.34
147.00;13.94
150.00;12.97
153.00;13.77
156.00;13.82
159.00;13.27
162.00;14.08
165.00;14.09
168.00;13.80
171.00;12.87
174.00;13.68
177.00;13.07
180.00;14.70
183.00;13.12
186.00;12.31
189.00;13.01
192.00;10.12
195.00;10.38
198.00;11.00
201.00;12.10
204.00;12.62
207.00;12.99
210.00;12.56
213.00;10.47
216.00;11.12
219.00;11.26
222.00;11.45
225.00;10.02
228.00;9.81
231.00;10.54
234.00;11.22
237.00;11.24
240.00;10.69
243.00;11.04
246.00;7.32
249.00;10.67
252.00;11.15
255.00;12.09
258.00;12.38
261.00;12.38
264.00;11.21
267.00;11.81
270.00;12.29
273.00;12.46
276.00;12.27
279.00;11.41
282.00;12.20
285.00;10.53
288.00;11.45
291.00;9.75
294.00;10.13
297.00;10.51
300.00;9.12
303.00;10.03
306.00;10.51
309.00;10.32
312.00;11.94
315.00;11.35
318.00;11.79
321.00;12.39
324.00;12.90
327.00;12.03
330.00;12.06
333.00;11.53
336.00;11.84
339.00;11.24
342.00;10.56
345.00;10.54
348.00;12.21
351.00;10.97
354.00;10.72
357.00;11.27
360.00;11.16
363.00;11.28
366.00;9.69
369.00;10.95
372.00;10.43
375.00;10.27
378.00;10.63
381.00;11.25
384.00;11.20
387.00;12.45
390.00;11.88
393.00;10.81
396.00;10.79
399.00;10.82
402.00;10.52
405.00;10.56
408.00;10.91
411.00;10.54
414.00;13.03
417.00;12.48
420.00;12.80
423.00;11.28
426.00;11.41
429.00;11.23
432.00;12.36
435.00;11.47
438.00;11.21
441.00;11.57
444.00;10.78
447.00;11.64
450.00;12.18
453.00;11.53
456.00;10.53
459.00;11.52
462.00;12.32
465.00;13.00
468.00;12.79
471.00;12.22
474.00;11.58
477.00;11.61
480.00;11.89
483.00;11.49
486.00;11.28
489.00;11.39
492.00;12.97
495.00;11.47
498.00;10.65
501.00;10.96
504.00;10.23
507.00;9.45
510.00;11.12
513.00;10.57
516.00;10.25
519.00;9.87
522.00;9.68
525.00;9.31
528.00;10.23
531.00;9.04
534.00;9.47
537.00;9.12
540.00;10.99
543.00;10.27
546.00;10.46
549.00;9.74
552.00;9.77
555.00;10.68
558.00;9.89
561.00;9.89
564.00;10.37
567.00;10.50
570.00;9.97
573.00;11.05
576.00;10.43
579.00;10.64
582.00;9.66
585.00;10.10
588.00;10.44
591.00;11.23
594.00;9.23
597.00;10.04
600.00;10.59
603.00;9.27
606.00;10.38
609.00;10.28
612.00;10.71
615.00;10.62
618.00;11.96
621.00;11.19
624.00;11.31
627.00;10.74
630.00;10.82
633.00;10.77
636.00;10.48
639.00;10.81
642.00;11.89
645.00;11.75
648.00;10.33
651.00;10.43
654.00;11.24
657.00;12.49
660.00;10.48
663.00;11.47
666.00;10.39
669.00;11.24
672.00;9.67
675.00;10.04
678.00;9.55
681.00;10.26
684.00;9.26
687.00;10.23
690.00;9.99
693.00;9.67
696.00;11.71
699.00;10.89
702.00;10.09
705.00;10.86
708.00;10.87
711.00;10.17
714.00;9.80
717.00;9.41
720.00;8.85
723.00;10.23
726.00;8.68
729.00;8.49
732.00;9.85
735.00;9.60
738.00;8.34
741.00;9.39
744.00;10.65
747.00;8.73
750.00;11.15
753.00;10.67
756.00;11.90
759.00;11.60
762.00;10.95
765.00;12.58
768.00;12.77
771.00;11.60
774.00;11.73
777.00;9.89
780.00;10.33
783.00;10.31
786.00;10.14
789.00;8.82
792.00;8.30
795.00;9.94
798.00;6.47
801.00;8.47
804.00;7.54
807.00;7.60
810.00;7.84
813.00;8.25
816.00;8.62
819.00;8.69
822.00;9.39
825.00;9.07
828.00;8.87
831.00;9.32
834.00;9.34
837.00;8.50
840.00;9.28
843.00;9.06
