Time(s);IntInt
0.00;38.51
3.00;42.64
6.00;36.08
9.00;33.72
12.00;37.45
15.00;36.69
18.00;35.02
21.00;38.13
24.00;33.31
27.00;34.36
30.00;35.53
33.00;39.31
36.00;40.96
39.00;37.76
42.00;36.22
45.00;40.82
48.00;38.42
51.00;36.30
54.00;38.67
57.00;40.52
60.00;40.58
63.00;40.42
66.00;39.80
69.00;42.18
72.00;40.05
75.00;46.30
78.00;44.14
81.00;45.53
84.00;44.26
87.00;45.71
90.00;46.14
93.00;48.19
96.00;44.84
99.00;48.88
102.00;45.73
105.00;43.58
108.00;39.64
111.00;42.20
114.00;39.68
117.00;40.96
120.00;39.17
123.00;40.75
126.00;45.32
129.00;39.60
132.00;42.24
135.00;44.85
138.00;43.80
141.00;41.24
144.00;41.10
147.00;46.52
150.00;43.73
153.00;46.40
156.00;43.42
159.00;47.97
162.00;46.20
165.00;48.27
168.00;46.71
171.00;44.01
174.00;42.91
177.00;43.78
180.00;46.52
183.00;44.83
186.00;42.41
189.00;42.98
192.00;40.29
195.00;44.19
198.00;40.92
201.00;40.32
204.00;40.68
207.00;42.53
210.00;44.04
213.00;46.89
216.00;44.91
219.00;40.76
222.00;43.24
225.00;37.76
228.00;37.95
231.00;41.41
234.00;37.19
237.00;40.71
240.00;41.02
243.00;36.09
246.00;44.24
249.00;33.67
252.00;33.14
255.00;39.07
258.00;40.16
261.00;39.14
264.00;40.63
267.00;45.47
270.00;44.17
273.00;41.44
276.00;44.84
279.00;40.07
282.00;41.61
285.00;43.58
288.00;41.99
291.00;40.44
294.00;42.82
297.00;43.21
300.00;39.41
303.00;36.26
306.00;39.67
309.00;39.46
312.00;37.63
315.00;37.24
318.00;38.57
321.00;39.45
324.00;37.19
327.00;38.92
330.00;38.79
333.00;38.65
336.00;38.68
339.00;37.20
342.00;37.27
345.00;38.26
348.00;40.11
351.00;37.38
354.00;40.46
357.00;40.09
360.00;38.70
363.00;37.59
366.00;37.82
369.00;40.94
372.00;42.67
375.00;42.54
378.00;41.28
381.00;40.75
384.00;41.83
387.00;39.59
390.00;39.53
393.00;40.08
396.00;35.81
399.00;41.39
402.00;44.32
405.00;43.20
408.00;40.65
411.00;40.08
414.00;39.21
417.00;42.54
420.00;40.15
423.00;40.12
426.00;40.02
429.00;40.36
432.00;40.36
435.00;33.40
438.00;36.27
441.00;38.68
444.00;38.79
447.00;39.65
450.00;37.51
453.00;37.39
456.00;33.87
459.00;38.47
462.00;35.45
465.00;35.11
468.00;35.27
471.00;32.81
474.00;31.08
477.00;35.88
480.00;34.80
483.00;32.33
486.00;32.22
489.00;35.86
492.00;34.21
495.00;37.94
498.00;39.81
501.00;36.64
504.00;36.07
507.00;37.84
510.00;35.44
513.00;33.76
516.00;32.55
519.00;32.85
522.00;32.06
525.00;36.77
528.00;37.98
531.00;31.24
534.00;33.41
537.00;33.84
540.00;33.94
543.00;30.63
546.00;29.34
549.00;28.90
552.00;26.19
555.00;28.61
558.00;28.40
561.00;29.94
564.00;29.09
567.00;30.69
570.00;29.76
573.00;26.65
576.00;31.06
579.00;30.61
582.00;31.62
585.00;29.65
588.00;29.06
591.00;31.05
594.00;33.53
597.00;32.41
600.00;33.09
603.00;35.02
606.00;31.83
609.00;31.21
612.00;32.70
615.00;30.84
618.00;28.74
621.00;30.87
624.00;33.92
627.00;35.43
630.00;33.13
633.00;35.40
636.00;36.29
639.00;35.27
642.00;33.05
645.00;29.98
648.00;32.50
651.00;31.91
654.00;33.59
657.00;30.44
660.00;30.69
663.00;30.33
666.00;28.68
669.00;27.57
672.00;28.74
675.00;28.56
678.00;25.59
681.00;21.16
684.00;24.21
687.00;22.25
690.00;22.61
693.00;22.39
696.00;24.20
699.00;22.01
702.00;22.51
705.00;21.61
708.00;16.91
711.00;22.77
714.00;22.76
717.00;21.96
720.00;20.29
723.00;25.59
726.00;23.04
729.00;20.73
732.00;21.67
735.00;21.03
738.00;18.56
741.00;14.26
744.00;19.23
747.00;19.34
750.00;19.36
753.00;19.28
756.00;19.50
759.00;20.20
762.00;19.71
765.00;19.32
768.00;16.72
771.00;18.59
774.00;19.92
777.00;21.47
780.00;15.91
783.00;13.61
786.00;16.95
789.00;17.51
792.00;16.19
795.00;15.78
798.00;17.73
801.00;18.66
804.00;17.75
807.00;21.33
810.00;17.39
813.00;17.39
816.00;19.70
819.00;16.38
822.00;18.73
825.00;16.61
828.00;20.43
831.00;18.44
834.00;20.51
837.00;19.50
840.00;17.82
843.00;20.32
846.00;21.22
849.00;23.40
852.00;20.67
855.00;23.20
858.00;23.35
861.00;21.34
864.00;21.52
867.00;21.33
870.00;24.50
873.00;23.32
876.00;22.27
879.00;24.28
882.00;21.12
885.00;25.41
888.00;25.66
891.00;26.68
894.00;25.64
897.00;26.87
900.00;24.70
903.00;25.26
906.00;28.87
909.00;27.45
912.00;27.59
915.00;29.75
918.00;26.79
921.00;29.14
924.00;29.92
927.00;32.54
930.00;31.33
933.00;31.72
936.00;30.02
939.00;30.81
942.00;31.53
945.00;29.66
948.00;28.37
951.00;29.91
954.00;28.57
957.00;27.55
960.00;30.21
963.00;26.76
966.00;28.07
969.00;32.23
972.00;32.63
975.00;30.63
978.00;32.60
981.00;34.00
984.00;29.21
987.00;30.57
990.00;32.25
993.00;27.25
996.00;29.87
999.00;27.50
1002.00;26.30
1005.00;27.56
1008.00;31.13
1011.00;30.11
1014.00;29.02
1017.00;31.20
1020.00;30.50
1023.00;29.57
1026.00;27.28
1029.00;27.38
1032.00;30.86
1035.00;32.48
1038.00;32.70
1041.00;31.12
1044.00;34.09
1047.00;32.37
1050.00;32.85
1053.00;31.02
1056.00;33.71
1059.00;29.28
1062.00;32.64
1065.00;31.17
1068.00;30.80
1071.00;30.18
1074.00;31.37
1077.00;34.72
1080.00;31.87
1083.00;33.52
1086.00;33.35
1089.00;34.89
1092.00;31.29
1095.00;29.80
1098.00;30.86
1101.00;33.17
1104.00;32.53
1107.00;32.54
1110.00;29.84
1113.00;30.76
1116.00;33.29
1119.00;31.10
1122.00;33.42
1125.00;34.24
1128.00;31.66
1131.00;33.26
1134.00;32.12
1137.00;32.84
1140.00;31.21
1143.00;32.85
1146.00;28.22
1149.00;33.10
1152.00;31.55
1155.00;30.80
1158.00;32.87
1161.00;32.03
1164.00;26.45
1167.00;28.44
1170.00;28.14
1173.00;30.64
1176.00;28.17
1179.00;27.29
1182.00;29.22
1185.00;29.00
1188.00;29.01
1191.00;29.02
1194.00;20.47
1197.00;23.31
1200.00;24.74
1203.00;22.22
1206.00;26.07
1209.00;23.17
1212.00;21.60
1215.00;24.57
1218.00;25.41
1221.00;23.43
1224.00;24.14
1227.00;26.08
1230.00;23.46
1233.00;24.50
1236.00;22.82
1239.00;23.72
1242.00;25.49
1245.00;24.76
1248.00;24.71
1251.00;27.74
1254.00;24.22
1257.00;22.35
1260.00;20.63
1263.00;21.88
1266.00;21.43
