Time(s);IntInt
0.00;39.47
3.00;36.79
6.00;36.11
9.00;34.58
12.00;36.68
15.00;32.75
18.00;32.66
21.00;34.55
24.00;37.16
27.00;35.73
30.00;32.99
33.00;32.99
36.00;36.93
39.00;36.46
42.00;35.66
45.00;40.92
48.00;34.97
51.00;33.44
54.00;33.41
57.00;34.93
60.00;33.93
63.00;37.20
66.00;36.97
69.00;33.21
72.00;30.69
75.00;32.64
78.00;33.90
81.00;35.01
84.00;29.23
87.00;29.45
90.00;30.86
93.00;26.91
96.00;31.91
99.00;26.84
102.00;29.91
105.00;26.64
108.00;29.05
111.00;26.87
114.00;27.57
117.00;25.03
120.00;26.94
123.00;26.65
126.00;24.88
129.00;20.04
132.00;22.49
135.00;22.38
138.00;21.68
141.00;21.72
144.00;21.41
147.00;21.82
150.00;22.82
153.00;20.57
156.00;22.45
159.00;18.98
162.00;19.40
165.00;16.60
168.00;18.70
171.00;16.23
174.00;14.87
177.00;15.50
180.00;14.66
183.00;14.10
186.00;14.29
189.00;13.42
192.00;13.54
195.00;12.33
198.00;12.31
201.00;11.32
204.00;11.83
207.00;8.96
210.00;9.70
213.00;10.67
216.00;11.10
219.00;9.28
222.00;8.70
225.00;9.58
228.00;10.78
231.00;11.87
234.00;11.27
237.00;12.06
240.00;9.92
243.00;11.74
246.00;12.18
249.00;11.92
252.00;12.07
255.00;12.53
258.00;13.16
261.00;12.40
264.00;13.67
267.00;13.71
270.00;17.43
273.00;18.31
276.00;14.98
279.00;18.71
282.00;19.03
285.00;17.08
288.00;18.02
291.00;19.39
294.00;16.03
297.00;17.53
300.00;20.04
303.00;22.05
306.00;19.73
309.00;19.88
312.00;22.76
315.00;20.64
318.00;25.08
321.00;20.99
324.00;22.22
327.00;23.46
330.00;24.99
333.00;23.90
336.00;25.88
339.00;23.39
342.00;25.57
345.00;22.98
348.00;22.47
351.00;23.44
354.00;22.66
357.00;23.46
360.00;23.85
363.00;22.71
366.00;22.58
369.00;23.67
372.00;21.12
375.00;22.32
378.00;22.22
381.00;24.00
384.00;26.88
387.00;27.82
390.00;25.66
393.00;28.26
396.00;26.53
399.00;27.37
402.00;22.59
405.00;25.05
408.00;27.87
411.00;27.99
414.00;26.72
417.00;27.01
420.00;20.18
423.00;26.34
426.00;26.43
429.00;25.91
432.00;26.87
435.00;27.53
438.00;27.09
441.00;28.47
444.00;25.77
447.00;28.58
450.00;29.75
453.00;24.29
456.00;30.42
459.00;27.98
462.00;29.52
465.00;25.58
468.00;26.82
471.00;23.54
474.00;26.74
477.00;25.56
480.00;23.45
483.00;21.47
486.00;20.83
489.00;24.24
492.00;21.58
495.00;19.16
498.00;19.15
501.00;19.25
504.00;19.52
507.00;18.58
510.00;16.62
513.00;19.04
516.00;17.45
519.00;18.59
522.00;18.07
525.00;15.72
528.00;15.33
531.00;15.84
534.00;17.28
537.00;16.73
540.00;16.14
543.00;15.08
546.00;11.71
549.00;13.08
552.00;12.14
555.00;10.72
558.00;13.26
561.00;13.14
564.00;15.70
567.00;12.03
570.00;11.71
573.00;12.88
576.00;12.07
579.00;11.40
582.00;11.54
585.00;11.94
588.00;12.99
591.00;10.62
594.00;11.95
597.00;11.20
600.00;10.16
603.00;7.05
606.00;10.82
609.00;11.31
612.00;9.62
615.00;12.51
618.00;11.78
621.00;11.68
624.00;10.17
627.00;11.77
630.00;11.84
633.00;13.07
636.00;13.67
639.00;12.24
642.00;12.54
645.00;10.87
648.00;14.33
651.00;13.51
654.00;12.22
657.00;12.82
660.00;10.62
663.00;10.87
666.00;12.04
669.00;12.51
672.00;11.64
675.00;12.29
678.00;11.54
681.00;10.50
684.00;10.56
687.00;10.06
690.00;10.52
693.00;11.62
696.00;11.59
699.00;10.43
702.00;11.18
705.00;11.37
708.00;12.51
711.00;10.37
714.00;11.59
717.00;11.41
720.00;11.47
723.00;11.87
726.00;9.69
729.00;10.83
732.00;8.98
735.00;8.26
738.00;10.17
741.00;8.02
744.00;5.74
747.00;7.76
750.00;7.02
753.00;6.92
756.00;7.20
759.00;7.14
762.00;5.62
765.00;6.47
768.00;5.15
771.00;2.10
774.00;3.25
777.00;5.89
780.00;6.71
783.00;7.28
786.00;4.50
789.00;7.44
792.00;5.20
795.00;6.70
798.00;7.61
801.00;6.23
804.00;6.73
807.00;6.77
810.00;7.14
813.00;7.78
816.00;8.20
819.00;6.84
822.00;8.48
825.00;7.89
828.00;9.41
831.00;10.06
834.00;8.10
837.00;8.97
840.00;11.31
843.00;9.14
846.00;11.62
849.00;11.55
852.00;8.97
855.00;10.67
858.00;9.68
861.00;9.92
864.00;9.04
867.00;9.59
870.00;9.87
873.00;12.34
876.00;11.75
879.00;11.11
882.00;11.65
885.00;11.44
888.00;11.35
891.00;11.75
894.00;12.63
897.00;10.49
900.00;11.48
903.00;11.91
906.00;9.96
909.00;12.05
912.00;12.72
915.00;10.88
918.00;13.29
921.00;13.67
924.00;12.53
927.00;12.06
930.00;15.50
933.00;16.05
936.00;14.93
939.00;15.92
942.00;15.59
945.00;15.18
948.00;16.15
951.00;14.59
954.00;12.45
957.00;14.02
960.00;14.20
963.00;16.86
966.00;17.26
969.00;17.15
972.00;17.66
975.00;16.64
978.00;18.23
981.00;18.86
984.00;18.45
987.00;17.67
990.00;17.61
993.00;18.66
996.00;17.29
999.00;17.52
1002.00;17.27
1005.00;18.23
1008.00;15.16
1011.00;15.29
1014.00;16.86
1017.00;15.65
1020.00;17.62
1023.00;18.58
1026.00;16.97
1029.00;18.85
1032.00;16.98
1035.00;17.95
1038.00;17.74
1041.00;20.16
1044.00;16.56
1047.00;18.86
1050.00;19.98
1053.00;20.72
1056.00;21.06
1059.00;18.83
1062.00;20.65
1065.00;20.44
1068.00;21.71
1071.00;20.71
1074.00;22.40
1077.00;21.65
1080.00;21.33
1083.00;22.70
1086.00;22.42
1089.00;23.07
1092.00;21.12
1095.00;19.70
1098.00;20.26
1101.00;20.59
1104.00;21.36
1107.00;22.74
1110.00;21.15
1113.00;19.62
1116.00;21.10
1119.00;20.67
1122.00;18.54
1125.00;19.57
1128.00;17.85
1131.00;22.21
1134.00;19.98
1137.00;19.92
1140.00;19.83
1143.00;18.93
1146.00;17.89
1149.00;19.78
1152.00;18.11
1155.00;19.70
1158.00;18.56
1161.00;18.37
1164.00;16.62
1167.00;18.73
1170.00;18.77
1173.00;19.85
1176.00;18.70
1179.00;19.02
1182.00;16.69
1185.00;14.69
1188.00;14.62
1191.00;17.26
1194.00;12.40
1197.00;15.39
1200.00;11.14
1203.00;13.53
1206.00;14.92
1209.00;15.06
1212.00;14.04
1215.00;15.44
1218.00;17.47
1221.00;17.40
1224.00;16.86
1227.00;17.71
1230.00;15.14
1233.00;17.94
1236.00;18.73
1239.00;15.30
1242.00;18.65
1245.00;14.55
1248.00;15.64
1251.00;17.35
1254.00;15.77
1257.00;16.08
1260.00;15.64
1263.00;15.35
1266.00;16.07
1269.00;16.74
1272.00;16.02
1275.00;14.96
1278.00;13.64
1281.00;15.48
1284.00;14.85
1287.00;14.06
1290.00;12.30
1293.00;7.94
1296.00;14.42
1299.00;10.83
1302.00;11.38
1305.00;11.88
1308.00;12.80
1311.00;11.39
1314.00;12.18
1317.00;12.06
1320.00;14.45
1323.00;12.95
1326.00;14.41
1329.00;13.07
1332.00;14.42
1335.00;13.05
1338.00;16.56
1341.00;16.68
1344.00;16.58
1347.00;13.28
1350.00;15.25
1353.00;16.94
1356.00;17.29
1359.00;12.15
1362.00;14.55
1365.00;15.77
1368.00;16.09
1371.00;14.87
1374.00;13.34
1377.00;15.25
1380.00;13.04
1383.00;15.18
1386.00;15.76
1389.00;16.71
1392.00;16.50
1395.00;18.24
1398.00;15.85
1401.00;13.27
1404.00;15.84
1407.00;16.61
1410.00;17.54
1413.00;18.32
1416.00;19.18
1419.00;16.95
1422.00;19.98
1425.00;19.45
1428.00;17.34
1431.00;17.44
1434.00;16.89
1437.00;17.59
1440.00;20.40
1443.00;18.97
1446.00;18.33
1449.00;18.96
1452.00;20.49
1455.00;18.12
1458.00;20.47
1461.00;21.44
1464.00;21.82
1467.00;22.02
1470.00;21.70
1473.00;21.57
1476.00;19.78
1479.00;20.92
1482.00;17.84
1485.00;19.24
1488.00;17.75
1491.00;18.18
1494.00;17.97
1497.00;19.45
1500.00;20.87
1503.00;19.47
1506.00;19.28
1509.00;18.92
1512.00;22.63
1515.00;17.66
1518.00;15.86
1521.00;16.18
1524.00;17.27
1527.00;19.11
1530.00;18.48
1533.00;19.35
1536.00;17.88
1539.00;17.91
1542.00;16.77
1545.00;16.75
1548.00;17.65
1551.00;20.26
1554.00;17.60
1557.00;20.74
1560.00;18.99
1563.00;16.42
1566.00;17.08
1569.00;19.82
1572.00;16.70
1575.00;17.88
1578.00;13.93
1581.00;17.32
1584.00;15.60
1587.00;11.32
1590.00;13.99
1593.00;13.54
1596.00;12.87
1599.00;13.56
1602.00;13.69
1605.00;14.65
1608.00;14.77
1611.00;11.37
1614.00;13.91
1617.00;12.72
1620.00;12.75
1623.00;14.27
1626.00;12.83
1629.00;13.81
1632.00;13.43
1635.00;10.92
1638.00;11.16
1641.00;11.34
1644.00;11.75
1647.00;10.45
1650.00;12.16
1653.00;9.98
1656.00;9.84
1659.00;13.03
1662.00;11.63
1665.00;14.37
1668.00;12.34
1671.00;13.14
1674.00;11.61
1677.00;12.93
1680.00;8.54
1683.00;14.44
