Time(s);IntInt
0.00;9.46
3.00;10.44
6.00;8.56
9.00;9.87
12.00;12.18
15.00;8.85
18.00;11.78
21.00;10.90
24.00;13.56
27.00;10.42
30.00;13.48
33.00;10.71
36.00;12.26
39.00;15.23
42.00;14.56
45.00;15.65
48.00;12.42
51.00;13.41
54.00;12.94
57.00;15.20
60.00;14.14
63.00;15.00
66.00;15.73
69.00;12.73
72.00;14.52
75.00;10.64
78.00;13.69
81.00;10.91
84.00;11.15
87.00;12.43
90.00;12.62
93.00;13.79
96.00;12.06
99.00;12.12
102.00;10.06
105.00;13.17
108.00;10.50
111.00;12.18
114.00;10.46
117.00;12.80
120.00;11.32
123.00;11.78
126.00;10.82
129.00;11.95
132.00;9.80
135.00;9.44
138.00;9.24
141.00;11.19
144.00;10.53
147.00;11.10
150.00;10.75
153.00;9.69
156.00;10.85
159.00;10.27
162.00;10.40
165.00;11.32
168.00;12.18
171.00;12.56
174.00;8.58
177.00;9.32
180.00;9.08
183.00;8.50
186.00;10.20
189.00;9.27
192.00;10.84
195.00;9.33
198.00;8.34
201.00;9.93
204.00;9.10
207.00;10.21
210.00;9.71
213.00;13.44
216.00;12.85
219.00;12.26
222.00;13.89
225.00;11.76
228.00;13.42
231.00;12.43
234.00;12.64
237.00;12.65
240.00;11.90
243.00;12.98
246.00;11.72
249.00;13.47
252.00;14.32
255.00;12.02
258.00;13.16
261.00;14.85
264.00;13.81
267.00;14.39
270.00;15.35
273.00;13.75
276.00;12.23
279.00;14.87
282.00;12.73
285.00;13.31
288.00;11.56
291.00;13.05
294.00;12.10
297.00;13.02
300.00;12.34
303.00;12.07
306.00;12.36
309.00;13.68
312.00;13.67
315.00;13.69
318.00;10.86
321.00;11.25
324.00;13.45
327.00;10.08
330.00;10.62
333.00;11.13
336.00;10.72
339.00;10.58
342.00;12.18
345.00;10.40
348.00;13.15
351.00;13.00
354.00;14.79
357.00;14.44
360.00;12.78
363.00;13.70
366.00;12.81
369.00;13.91
372.00;11.08
375.00;13.02
378.00;13.58
381.00;14.35
384.00;14.19
387.00;14.87
390.00;12.94
393.00;12.03
396.00;15.04
399.00;14.84
402.00;13.85
405.00;12.45
408.00;14.70
411.00;14.97
414.00;14.57
417.00;15.28
420.00;15.50
423.00;13.66
426.00;15.65
429.00;14.26
432.00;15.17
435.00;15.07
438.00;14.02
441.00;15.17
444.00;15.27
447.00;14.69
450.00;17.58
453.00;15.72
456.00;14.34
459.00;15.66
462.00;11.19
465.00;14.79
468.00;12.36
471.00;10.48
474.00;15.29
477.00;13.34
480.00;10.78
483.00;15.21
486.00;15.96
489.00;16.00
492.00;19.08
495.00;17.58
498.00;15.73
501.00;13.15
504.00;12.05
507.00;13.41
510.00;14.83
513.00;16.43
516.00;17.00
519.00;16.51
522.00;15.14
525.00;16.46
528.00;14.56
531.00;17.02
534.00;15.95
537.00;15.48
540.00;16.57
543.00;17.07
546.00;15.47
549.00;19.97
552.00;17.60
555.00;16.87
558.00;19.33
561.00;17.08
564.00;15.57
567.00;17.78
570.00;17.53
573.00;18.34
576.00;17.41
579.00;18.17
582.00;16.32
585.00;13.36
588.00;19.38
591.00;15.02
594.00;17.19
597.00;17.44
600.00;16.63
603.00;16.08
606.00;17.34
609.00;17.90
612.00;20.09
615.00;23.00
618.00;24.51
621.00;23.20
624.00;23.66
627.00;23.01
630.00;22.84
633.00;21.35
636.00;21.74
639.00;21.53
642.00;19.48
645.00;19.62
648.00;20.24
651.00;21.91
654.00;21.78
657.00;25.40
660.00;21.59
663.00;20.80
666.00;26.84
669.00;24.32
672.00;23.39
675.00;24.51
678.00;24.70
681.00;26.03
684.00;23.74
687.00;22.49
690.00;20.89
693.00;21.30
696.00;22.22
699.00;24.38
702.00;22.34
705.00;21.80
708.00;20.02
711.00;22.58
714.00;19.55
717.00;20.14
720.00;21.22
723.00;19.05
726.00;15.13
729.00;19.05
732.00;16.44
735.00;16.60
738.00;16.99
741.00;15.79
744.00;18.33
747.00;20.86
750.00;18.27
753.00;19.67
756.00;20.71
759.00;17.48
762.00;16.31
765.00;18.79
768.00;16.43
771.00;19.38
774.00;16.10
777.00;16.83
780.00;13.95
783.00;17.54
786.00;18.65
789.00;16.37
792.00;16.00
795.00;17.24
798.00;17.33
801.00;19.18
804.00;19.31
807.00;17.17
810.00;14.75
813.00;18.54
816.00;18.80
819.00;18.08
822.00;15.89
825.00;17.96
828.00;19.87
831.00;16.56
834.00;17.32
837.00;21.75
840.00;21.40
843.00;18.45
846.00;20.04
849.00;21.93
852.00;21.80
855.00;20.16
858.00;24.83
861.00;23.36
864.00;24.87
867.00;23.70
870.00;20.95
873.00;19.74
876.00;22.31
879.00;21.73
882.00;20.25
885.00;18.04
888.00;17.38
891.00;23.28
894.00;20.71
897.00;20.14
900.00;24.33
903.00;23.77
906.00;25.44
909.00;21.01
912.00;21.41
915.00;26.77
918.00;26.71
921.00;25.28
924.00;21.36
927.00;26.55
930.00;25.75
933.00;21.73
936.00;22.18
939.00;23.83
942.00;21.09
945.00;24.47
948.00;21.74
951.00;24.55
954.00;22.96
957.00;21.96
960.00;22.50
963.00;21.42
966.00;20.77
969.00;21.62
972.00;19.44
975.00;25.21
978.00;23.98
981.00;18.17
984.00;20.12
987.00;16.42
990.00;13.89
993.00;16.78
996.00;17.57
999.00;18.62
1002.00;16.62
1005.00;17.25
1008.00;18.10
1011.00;17.09
1014.00;19.34
1017.00;17.90
1020.00;17.31
1023.00;16.11
1026.00;16.24
1029.00;13.53
1032.00;17.23
1035.00;17.27
1038.00;18.89
1041.00;18.20
1044.00;19.11
1047.00;19.65
1050.00;12.16
1053.00;16.98
1056.00;15.96
1059.00;15.07
1062.00;15.31
1065.00;11.73
1068.00;11.60
1071.00;12.72
1074.00;13.95
1077.00;10.99
1080.00;14.09
1083.00;13.49
1086.00;10.33
1089.00;13.07
1092.00;12.38
1095.00;8.65
1098.00;12.04
1101.00;7.69
1104.00;9.85
1107.00;9.70
1110.00;12.52
1113.00;11.37
1116.00;10.54
1119.00;9.17
1122.00;9.83
1125.00;10.70
1128.00;9.81
1131.00;10.85
1134.00;10.07
1137.00;9.69
1140.00;13.24
1143.00;12.62
1146.00;12.18
1149.00;10.15
1152.00;13.35
1155.00;13.33
1158.00;16.14
1161.00;14.95
1164.00;11.57
1167.00;10.95
1170.00;12.36
1173.00;11.50
1176.00;12.63
1179.00;12.80
1182.00;11.01
1185.00;10.42
1188.00;12.23
1191.00;14.60
1194.00;13.70
1197.00;11.75
1200.00;13.17
1203.00;12.78
1206.00;11.97
1209.00;11.97
1212.00;14.20
1215.00;14.10
1218.00;14.82
1221.00;15.39
1224.00;14.42
1227.00;17.10
1230.00;16.59
1233.00;16.98
1236.00;14.96
1239.00;13.47
1242.00;15.96
1245.00;15.61
1248.00;16.39
1251.00;17.26
1254.00;16.91
1257.00;16.20
1260.00;16.38
1263.00;17.84
1266.00;18.85
1269.00;15.80
1272.00;16.11
1275.00;14.87
1278.00;17.12
1281.00;13.53
1284.00;15.10
1287.00;14.96
1290.00;14.49
1293.00;16.84
1296.00;20.41
1299.00;17.37
1302.00;17.79
1305.00;17.04
1308.00;17.17
1311.00;18.73
1314.00;18.88
1317.00;20.33
1320.00;21.57
1323.00;20.18
1326.00;19.86
1329.00;22.40
1332.00;18.94
1335.00;20.91
1338.00;24.47
1341.00;16.26
1344.00;20.83
1347.00;17.75
1350.00;16.01
1353.00;17.30
1356.00;20.30
1359.00;18.23
1362.00;17.58
1365.00;16.10
1368.00;17.02
1371.00;16.18
1374.00;16.67
1377.00;18.95
1380.00;20.60
1383.00;16.99
1386.00;14.19
1389.00;15.35
1392.00;15.55
1395.00;16.32
1398.00;14.84
1401.00;16.21
1404.00;13.42
1407.00;15.46
1410.00;13.68
1413.00;14.90
1416.00;13.50
1419.00;15.59
1422.00;12.29
1425.00;12.39
1428.00;11.15
1431.00;12.50
1434.00;10.53
1437.00;13.71
1440.00;14.27
1443.00;12.43
1446.00;12.89
1449.00;11.53
1452.00;16.97
1455.00;14.10
1458.00;12.46
1461.00;10.94
1464.00;13.39
1467.00;12.72
1470.00;10.48
1473.00;13.15
1476.00;14.15
1479.00;17.23
1482.00;16.26
1485.00;14.90
1488.00;14.34
1491.00;13.24
1494.00;11.94
1497.00;14.04
1500.00;13.42
1503.00;15.03
1506.00;16.28
1509.00;15.03
1512.00;10.98
1515.00;14.94
1518.00;15.41
1521.00;12.93
1524.00;12.43
1527.00;15.28
1530.00;15.56
1533.00;13.35
1536.00;14.83
1539.00;15.00
1542.00;18.04
1545.00;13.70
1548.00;15.41
1551.00;16.22
1554.00;14.08
1557.00;13.46
1560.00;13.45
1563.00;12.83
1566.00;14.12
1569.00;11.09
1572.00;11.80
1575.00;9.22
1578.00;11.42
1581.00;10.36
1584.00;11.57
1587.00;13.02
1590.00;8.48
1593.00;8.54
1596.00;10.15
1599.00;14.47
1602.00;12.95
1605.00;11.84
1608.00;10.90
1611.00;14.22
1614.00;13.69
1617.00;11.85
1620.00;14.10
1623.00;11.31
1626.00;12.75
1629.00;11.67
1632.00;11.19
1635.00;12.04
1638.00;11.78
1641.00;8.22
1644.00;9.29
1647.00;8.10
1650.00;10.50
1653.00;6.49
1656.00;5.93
1659.00;4.66
1662.00;7.10
1665.00;5.34
1668.00;7.36
1671.00;4.85
1674.00;6.21
1677.00;6.62
1680.00;6.64
1683.00;7.67
1686.00;9.95
1689.00;9.22
1692.00;9.49
1695.00;7.93
1698.00;8.11
1701.00;5.80
1704.00;8.98
1707.00;6.92
1710.00;6.64
1713.00;9.33
1716.00;10.86
1719.00;9.11
1722.00;10.60
1725.00;11.30
1728.00;9.50
1731.00;9.84
1734.00;7.47
1737.00;10.62
1740.00;9.62
1743.00;8.83
1746.00;11.12
1749.00;11.12
1752.00;10.02
1755.00;9.36
1758.00;8.88
1761.00;8.36
1764.00;10.29
1767.00;7.59
1770.00;10.66
1773.00;10.94
1776.00;11.88
1779.00;10.48
1782.00;11.20
1785.00;10.88
1788.00;10.39
1791.00;13.59
1794.00;11.80
1797.00;10.57
