Time(s);IntInt
0.00;40.99
3.00;40.36
6.00;40.46
9.00;38.79
12.00;40.17
15.00;37.37
18.00;37.10
21.00;32.44
24.00;35.92
27.00;36.95
30.00;39.31
33.00;34.48
36.00;37.74
39.00;32.80
42.00;33.32
45.00;31.56
48.00;35.03
51.00;30.67
54.00;33.41
57.00;34.34
60.00;34.56
63.00;35.03
66.00;36.17
69.00;33.41
72.00;39.79
75.00;33.47
78.00;37.30
81.00;34.47
84.00;29.04
87.00;27.35
90.00;34.00
93.00;33.16
96.00;37.57
99.00;30.88
102.00;31.22
105.00;35.47
108.00;35.85
111.00;32.42
114.00;30.33
117.00;31.71
120.00;28.53
123.00;30.60
126.00;33.03
129.00;24.52
132.00;26.05
135.00;28.03
138.00;33.27
141.00;32.74
144.00;35.96
147.00;34.95
150.00;38.99
153.00;32.86
156.00;36.12
159.00;33.35
162.00;31.01
165.00;26.55
168.00;29.61
171.00;28.60
174.00;29.06
177.00;24.22
180.00;22.04
183.00;27.75
186.00;22.50
189.00;24.15
192.00;26.81
195.00;26.46
198.00;29.43
201.00;29.97
204.00;24.87
207.00;23.91
210.00;25.34
213.00;26.11
216.00;28.26
219.00;19.96
222.00;23.22
225.00;21.87
228.00;26.15
231.00;28.91
234.00;25.56
237.00;28.23
240.00;28.08
243.00;26.42
246.00;31.02
249.00;29.24
252.00;30.34
255.00;28.90
258.00;32.85
261.00;32.83
264.00;30.42
267.00;25.56
270.00;32.27
273.00;24.47
276.00;26.44
279.00;27.01
282.00;29.61
285.00;26.95
288.00;25.33
291.00;24.93
294.00;21.19
297.00;26.24
300.00;24.02
303.00;21.82
306.00;20.58
309.00;26.93
312.00;28.42
315.00;30.84
318.00;30.12
321.00;28.69
324.00;29.73
327.00;30.41
330.00;27.13
333.00;27.86
336.00;29.00
339.00;27.17
342.00;25.95
345.00;31.93
348.00;28.13
351.00;28.42
354.00;36.39
357.00;32.29
360.00;32.20
363.00;30.50
366.00;32.59
369.00;33.63
372.00;34.12
375.00;29.99
378.00;33.00
381.00;36.20
384.00;36.08
387.00;36.70
390.00;34.37
393.00;32.01
396.00;29.68
399.00;26.68
402.00;19.50
405.00;20.11
408.00;23.99
411.00;33.36
414.00;26.54
417.00;31.55
420.00;33.56
423.00;33.39
426.00;34.27
429.00;33.21
432.00;25.11
435.00;26.33
438.00;28.13
441.00;26.53
444.00;23.38
447.00;18.91
450.00;20.35
453.00;20.27
456.00;19.92
459.00;20.16
462.00;19.24
465.00;21.12
468.00;19.26
471.00;17.68
474.00;17.37
477.00;20.71
480.00;19.62
483.00;20.83
486.00;19.54
489.00;19.03
492.00;14.97
495.00;17.60
498.00;18.14
501.00;19.02
504.00;14.73
507.00;14.44
510.00;13.43
513.00;12.32
516.00;12.16
519.00;15.30
522.00;13.91
525.00;11.98
528.00;12.53
531.00;13.63
534.00;11.49
537.00;14.03
540.00;14.93
543.00;11.23
546.00;12.25
549.00;9.31
552.00;12.48
555.00;9.76
558.00;10.50
561.00;10.99
564.00;11.42
567.00;9.91
570.00;12.77
573.00;11.20
576.00;12.48
579.00;14.41
582.00;11.41
585.00;11.90
588.00;11.74
591.00;11.42
594.00;11.27
597.00;12.04
600.00;7.53
603.00;6.84
606.00;8.41
609.00;10.49
612.00;9.08
615.00;10.85
618.00;9.08
621.00;10.16
624.00;11.00
627.00;9.61
630.00;10.56
633.00;8.44
636.00;12.26
639.00;11.50
642.00;11.37
645.00;10.24
648.00;10.79
651.00;11.20
654.00;11.76
657.00;14.23
660.00;15.52
663.00;16.59
666.00;14.31
669.00;15.77
672.00;14.21
675.00;14.15
678.00;12.77
681.00;12.41
684.00;14.63
687.00;15.38
690.00;14.02
693.00;16.45
696.00;19.41
699.00;16.98
702.00;15.28
705.00;10.86
708.00;14.79
711.00;15.87
714.00;15.06
717.00;13.63
720.00;14.90
723.00;15.73
726.00;15.11
729.00;17.70
732.00;16.08
735.00;14.60
738.00;13.98
741.00;16.43
744.00;15.17
747.00;18.39
750.00;15.90
753.00;15.49
756.00;19.58
759.00;16.98
762.00;17.07
765.00;13.83
768.00;16.58
771.00;16.10
774.00;14.59
777.00;15.16
780.00;15.40
783.00;19.22
786.00;19.17
789.00;24.25
792.00;23.77
795.00;21.58
798.00;19.69
801.00;25.08
804.00;24.90
807.00;22.71
810.00;23.24
813.00;26.63
816.00;24.22
819.00;20.35
822.00;25.29
825.00;23.00
828.00;26.68
831.00;27.08
834.00;24.52
837.00;27.78
840.00;20.10
843.00;25.24
846.00;28.35
849.00;23.88
852.00;26.77
855.00;25.06
858.00;25.82
861.00;23.25
864.00;18.98
867.00;20.81
870.00;19.95
873.00;22.01
876.00;20.57
879.00;22.47
882.00;19.23
885.00;22.07
888.00;21.22
891.00;16.74
894.00;21.05
897.00;19.25
900.00;17.03
903.00;16.41
906.00;21.62
909.00;19.43
912.00;15.31
915.00;18.56
918.00;19.11
921.00;17.32
924.00;24.04
927.00;23.50
930.00;21.66
933.00;21.80
936.00;24.74
939.00;24.45
942.00;21.92
945.00;20.61
948.00;19.09
951.00;17.12
954.00;18.58
957.00;17.90
960.00;17.74
963.00;21.91
966.00;20.19
969.00;19.86
972.00;22.88
975.00;20.89
978.00;22.96
981.00;21.39
984.00;19.86
987.00;22.31
990.00;21.04
993.00;17.25
996.00;20.53
999.00;18.02
1002.00;18.15
1005.00;15.52
1008.00;15.51
1011.00;17.28
1014.00;19.58
1017.00;20.61
1020.00;20.06
1023.00;19.96
1026.00;18.48
1029.00;17.03
1032.00;18.73
1035.00;17.45
1038.00;17.31
1041.00;20.56
1044.00;19.39
1047.00;17.98
1050.00;18.27
1053.00;17.51
1056.00;17.96
1059.00;15.93
1062.00;18.01
1065.00;18.60
1068.00;17.66
1071.00;17.40
1074.00;18.16
1077.00;17.66
1080.00;16.81
1083.00;15.49
1086.00;19.12
1089.00;16.67
1092.00;16.08
1095.00;16.62
1098.00;17.51
1101.00;17.20
1104.00;18.75
1107.00;14.87
1110.00;13.64
1113.00;14.35
1116.00;11.74
1119.00;11.67
1122.00;14.65
1125.00;11.82
1128.00;11.10
1131.00;13.48
1134.00;15.00
1137.00;11.88
1140.00;14.94
1143.00;15.29
1146.00;19.39
1149.00;15.70
1152.00;15.59
1155.00;16.43
1158.00;12.24
1161.00;12.03
1164.00;13.58
1167.00;16.09
1170.00;11.78
1173.00;12.97
1176.00;16.54
1179.00;15.75
1182.00;18.05
1185.00;18.20
1188.00;20.54
1191.00;17.55
1194.00;20.60
1197.00;18.12
1200.00;17.28
1203.00;16.11
1206.00;12.52
