Time(s);IntInt
0.00;87.08
3.00;80.78
6.00;73.36
9.00;73.07
12.00;73.11
15.00;70.76
18.00;82.75
21.00;71.66
24.00;73.20
27.00;73.64
30.00;71.36
33.00;75.01
36.00;69.43
39.00;72.18
42.00;72.97
45.00;69.98
48.00;76.61
51.00;73.64
54.00;69.29
57.00;71.16
60.00;80.39
63.00;75.15
66.00;78.36
69.00;71.14
72.00;70.15
75.00;60.65
78.00;66.51
81.00;63.75
84.00;60.20
87.00;65.77
90.00;67.47
93.00;60.16
96.00;56.45
99.00;64.21
102.00;65.36
105.00;59.66
108.00;60.14
111.00;60.86
114.00;56.02
117.00;58.26
120.00;62.11
123.00;62.53
126.00;57.23
129.00;55.02
132.00;61.69
135.00;62.35
138.00;53.66
141.00;60.56
144.00;54.84
147.00;64.46
150.00;63.61
153.00;67.27
156.00;68.78
159.00;74.99
162.00;71.74
165.00;64.79
168.00;69.42
171.00;71.11
174.00;70.96
177.00;72.22
180.00;68.92
183.00;59.54
186.00;66.46
189.00;57.32
192.00;72.22
195.00;70.82
198.00;74.82
201.00;72.26
204.00;78.43
207.00;73.49
210.00;77.18
213.00;75.39
216.00;74.55
219.00;73.25
222.00;72.59
225.00;69.03
228.00;78.61
231.00;77.50
234.00;86.09
237.00;79.27
240.00;80.43
243.00;76.39
246.00;81.70
249.00;82.53
252.00;83.22
255.00;83.13
258.00;80.13
261.00;82.63
264.00;78.75
267.00;73.66
270.00;74.95
273.00;75.24
276.00;78.72
279.00;62.37
282.00;77.25
285.00;80.64
288.00;79.49
291.00;80.94
294.00;84.02
297.00;80.98
300.00;70.77
303.00;73.94
306.00;84.98
309.00;82.99
312.00;75.71
315.00;75.93
318.00;73.85
321.00;84.11
324.00;87.43
327.00;86.39
330.00;92.00
333.00;89.00
336.00;84.37
339.00;77.06
342.00;83.02
345.00;88.07
348.00;93.76
351.00;84.80
354.00;83.18
357.00;84.84
360.00;93.48
363.00;97.45
366.00;96.41
369.00;100.78
372.00;95.07
375.00;92.81
378.00;83.37
381.00;88.04
384.00;78.23
387.00;86.74
390.00;80.28
393.00;72.35
396.00;81.02
399.00;90.17
402.00;87.75
405.00;81.81
408.00;82.88
411.00;71.99
414.00;82.91
417.00;82.00
420.00;80.59
423.00;77.30
