Time(s);IntInt
0.00;26.54
3.00;26.96
6.00;27.27
9.00;25.97
12.00;24.10
15.00;26.07
18.00;22.26
21.00;25.97
24.00;26.01
27.00;24.45
30.00;25.48
33.00;27.70
36.00;27.79
39.00;28.01
42.00;27.16
45.00;28.88
48.00;29.45
51.00;27.23
54.00;26.68
57.00;25.19
60.00;25.92
63.00;22.70
66.00;24.24
69.00;19.22
72.00;22.26
75.00;21.83
78.00;23.69
81.00;23.91
84.00;24.41
87.00;22.75
90.00;21.54
93.00;23.56
96.00;27.54
99.00;28.56
102.00;28.08
105.00;24.61
108.00;24.92
111.00;25.54
114.00;25.32
117.00;25.53
120.00;25.32
123.00;23.21
126.00;22.89
129.00;25.39
132.00;23.12
135.00;26.88
138.00;27.48
141.00;27.01
144.00;27.93
147.00;28.66
150.00;25.41
153.00;26.42
156.00;21.39
159.00;24.91
162.00;23.48
165.00;23.05
168.00;22.55
171.00;19.81
174.00;20.01
177.00;23.35
180.00;19.09
183.00;23.58
186.00;18.53
189.00;19.96
192.00;20.16
195.00;24.47
198.00;20.19
201.00;19.06
204.00;17.80
207.00;18.06
210.00;23.62
213.00;22.32
216.00;21.67
219.00;20.42
222.00;23.08
225.00;21.22
228.00;24.12
231.00;23.88
234.00;23.79
237.00;24.36
240.00;27.79
243.00;23.30
246.00;23.89
249.00;20.04
252.00;22.11
255.00;19.94
258.00;22.88
261.00;25.91
264.00;24.12
267.00;27.97
270.00;21.76
273.00;20.19
276.00;17.97
279.00;20.23
282.00;24.35
285.00;22.45
288.00;20.63
291.00;24.48
294.00;25.55
297.00;21.46
300.00;21.76
303.00;17.34
306.00;19.24
309.00;19.26
312.00;22.81
315.00;19.30
318.00;20.91
321.00;22.66
324.00;21.06
327.00;22.29
330.00;22.67
333.00;25.95
336.00;25.52
339.00;29.21
342.00;20.64
345.00;24.86
348.00;24.30
351.00;24.20
354.00;19.79
357.00;23.60
360.00;23.87
363.00;17.36
366.00;16.15
369.00;15.66
372.00;17.89
375.00;17.53
378.00;20.01
381.00;16.24
384.00;18.65
387.00;15.16
390.00;18.96
393.00;18.26
396.00;14.30
399.00;18.07
402.00;17.82
405.00;19.14
