Time(s);IntInt
0.00;55.20
3.00;54.34
6.00;52.50
9.00;54.42
12.00;60.65
15.00;58.99
18.00;54.79
21.00;52.85
24.00;58.77
27.00;55.81
30.00;54.72
33.00;55.38
36.00;58.84
39.00;56.15
42.00;56.89
45.00;52.54
48.00;53.19
51.00;48.20
54.00;48.41
57.00;48.29
60.00;52.05
63.00;50.80
66.00;52.13
69.00;51.09
72.00;44.96
75.00;42.53
78.00;41.33
81.00;40.09
84.00;44.97
87.00;41.82
90.00;38.58
93.00;42.36
96.00;44.22
99.00;46.92
102.00;45.59
105.00;45.26
108.00;47.35
111.00;49.14
114.00;44.47
117.00;52.62
120.00;49.99
123.00;47.32
126.00;50.16
129.00;47.34
132.00;51.67
135.00;50.84
138.00;58.21
141.00;51.68
144.00;52.62
147.00;52.97
150.00;53.12
153.00;54.41
156.00;58.41
159.00;47.20
162.00;50.62
165.00;58.21
168.00;55.57
171.00;59.88
174.00;61.68
177.00;57.52
180.00;56.22
183.00;56.54
186.00;60.63
189.00;61.39
192.00;49.10
195.00;58.01
198.00;61.80
201.00;59.45
204.00;55.69
207.00;65.80
210.00;63.43
213.00;67.16
216.00;64.34
219.00;61.13
222.00;59.50
225.00;57.00
228.00;58.09
231.00;67.29
234.00;65.04
237.00;65.17
240.00;69.84
243.00;71.62
246.00;65.89
249.00;73.01
252.00;70.36
255.00;72.84
258.00;70.21
261.00;78.14
264.00;73.15
267.00;73.38
270.00;67.61
273.00;69.05
276.00;70.17
279.00;71.06
282.00;73.20
285.00;72.14
288.00;68.97
291.00;81.50
294.00;82.32
297.00;78.68
300.00;78.89
303.00;77.60
306.00;78.65
309.00;72.43
312.00;64.85
315.00;63.09
318.00;68.52
321.00;73.15
324.00;69.23
327.00;67.66
330.00;62.63
333.00;66.37
336.00;69.35
339.00;63.88
342.00;54.92
345.00;58.03
348.00;57.09
351.00;66.05
354.00;72.75
357.00;70.64
360.00;69.81
363.00;67.94
366.00;68.21
369.00;66.70
372.00;62.36
375.00;64.00
378.00;66.93
381.00;65.79
384.00;58.47
387.00;58.87
390.00;50.35
393.00;52.32
396.00;54.05
399.00;54.84
402.00;56.41
405.00;54.46
408.00;50.91
411.00;48.42
414.00;50.51
417.00;48.40
420.00;51.25
423.00;45.34
426.00;48.17
429.00;42.99
432.00;41.73
435.00;39.54
438.00;39.06
441.00;38.51
444.00;35.45
447.00;36.34
450.00;40.20
453.00;35.90
456.00;37.01
459.00;34.77
462.00;33.73
465.00;29.81
468.00;33.22
471.00;29.02
474.00;22.88
477.00;24.09
480.00;25.02
483.00;21.92
486.00;21.99
489.00;25.16
492.00;28.21
495.00;26.11
498.00;25.86
501.00;25.41
504.00;25.19
507.00;23.05
510.00;25.18
513.00;23.63
516.00;21.01
519.00;22.01
522.00;21.62
525.00;21.10
528.00;20.63
531.00;23.14
534.00;19.40
537.00;19.08
540.00;19.20
543.00;16.72
546.00;17.01
549.00;18.64
552.00;16.55
555.00;16.69
558.00;17.98
561.00;18.55
564.00;12.85
567.00;13.20
570.00;13.63
573.00;14.49
576.00;15.29
579.00;15.06
582.00;12.61
585.00;14.02
588.00;13.84
591.00;14.04
594.00;12.73
597.00;13.20
600.00;11.62
603.00;10.26
606.00;8.77
609.00;12.44
612.00;12.52
615.00;9.29
618.00;9.56
621.00;10.54
624.00;9.86
627.00;9.90
630.00;8.50
633.00;7.96
636.00;9.04
639.00;7.28
642.00;10.11
645.00;10.79
648.00;9.52
651.00;8.94
654.00;10.12
657.00;9.71
660.00;8.90
663.00;8.78
666.00;11.55
669.00;9.80
672.00;6.79
675.00;8.44
678.00;9.35
681.00;9.24
684.00;9.70
687.00;8.73
690.00;8.13
693.00;6.33
696.00;7.53
699.00;7.89
702.00;7.36
705.00;7.69
708.00;8.79
711.00;9.56
714.00;8.63
717.00;9.34
720.00;6.59
723.00;8.18
726.00;7.82
729.00;5.24
732.00;4.86
735.00;4.46
738.00;4.24
741.00;5.72
744.00;5.47
747.00;4.58
750.00;3.90
753.00;4.31
756.00;3.33
759.00;4.23
762.00;2.31
765.00;3.29
768.00;1.38
771.00;2.80
774.00;3.82
777.00;3.92
780.00;4.91
783.00;3.95
786.00;3.48
789.00;2.78
792.00;3.35
795.00;4.08
798.00;2.33
801.00;5.11
804.00;3.57
807.00;3.89
810.00;4.19
813.00;5.62
816.00;1.31
819.00;3.81
822.00;3.80
825.00;3.55
828.00;2.77
831.00;5.08
834.00;4.38
837.00;4.27
840.00;1.90
843.00;3.95
846.00;3.77
849.00;3.79
852.00;3.97
855.00;3.44
858.00;3.43
861.00;3.70
864.00;1.63
867.00;4.44
870.00;3.89
873.00;3.08
876.00;3.93
879.00;5.57
882.00;3.80
885.00;5.16
888.00;4.60
891.00;5.27
894.00;6.46
897.00;5.02
900.00;4.60
903.00;6.06
906.00;8.37
909.00;7.92
912.00;9.35
915.00;9.59
918.00;7.47
921.00;10.21
924.00;10.17
927.00;10.18
930.00;14.44
933.00;14.90
936.00;13.39
939.00;16.19
942.00;20.18
945.00;16.16
948.00;21.87
951.00;18.24
954.00;22.70
957.00;23.48
960.00;20.70
963.00;19.86
966.00;18.44
969.00;22.01
972.00;21.02
975.00;21.22
978.00;22.73
981.00;18.93
984.00;20.70
987.00;19.83
990.00;20.81
993.00;21.45
996.00;24.06
999.00;21.77
1002.00;21.61
1005.00;21.89
1008.00;22.16
1011.00;23.53
1014.00;25.61
1017.00;24.23
1020.00;23.27
