Time(s);IntInt
0.00;34.37
3.00;28.25
6.00;28.19
9.00;27.73
12.00;23.58
15.00;28.04
18.00;27.27
21.00;27.06
24.00;20.41
27.00;22.31
30.00;21.91
33.00;19.51
36.00;16.94
39.00;20.01
42.00;16.81
45.00;13.59
48.00;24.15
51.00;18.28
54.00;20.86
57.00;18.64
60.00;17.72
63.00;19.20
66.00;20.23
69.00;16.57
72.00;18.35
75.00;20.10
78.00;20.51
81.00;19.07
84.00;17.24
87.00;17.22
90.00;18.00
93.00;17.86
96.00;15.70
99.00;16.24
102.00;17.92
105.00;17.62
108.00;15.44
111.00;16.78
114.00;19.39
117.00;13.95
120.00;13.88
123.00;12.71
126.00;13.80
129.00;10.37
132.00;17.93
135.00;13.69
138.00;14.66
141.00;13.39
144.00;20.91
147.00;16.04
150.00;16.80
153.00;19.60
156.00;18.89
159.00;19.79
162.00;21.10
165.00;22.66
168.00;17.65
171.00;20.49
174.00;18.41
177.00;18.85
180.00;18.80
183.00;21.18
186.00;22.62
189.00;25.63
192.00;26.90
195.00;22.93
198.00;24.11
201.00;22.68
204.00;23.61
207.00;20.97
210.00;24.08
213.00;26.07
216.00;27.49
219.00;26.55
222.00;26.14
225.00;23.96
228.00;30.08
231.00;29.32
234.00;27.19
237.00;24.40
240.00;26.23
243.00;31.29
246.00;28.97
249.00;24.31
252.00;28.56
255.00;25.39
258.00;24.77
261.00;30.32
264.00;28.93
267.00;30.33
270.00;26.02
273.00;24.22
276.00;26.39
279.00;24.30
282.00;31.39
285.00;28.67
288.00;32.01
291.00;28.39
294.00;34.28
297.00;32.90
300.00;30.49
303.00;34.01
306.00;28.15
309.00;33.24
312.00;29.36
315.00;30.77
318.00;25.81
321.00;39.05
324.00;38.05
327.00;30.58
330.00;34.36
333.00;34.50
336.00;25.92
339.00;26.30
342.00;30.26
345.00;28.37
348.00;27.22
351.00;26.41
354.00;29.92
357.00;33.74
360.00;31.30
363.00;24.61
366.00;27.43
369.00;26.26
372.00;22.24
375.00;27.41
378.00;24.48
381.00;24.04
384.00;24.01
387.00;17.55
390.00;22.35
393.00;20.19
396.00;27.48
399.00;24.43
402.00;22.22
405.00;21.03
408.00;19.42
411.00;16.66
414.00;18.31
417.00;18.96
420.00;20.29
423.00;16.27
426.00;18.54
429.00;19.40
432.00;19.31
435.00;20.19
438.00;18.65
441.00;17.04
444.00;20.41
447.00;17.21
450.00;17.23
453.00;21.34
456.00;13.75
459.00;14.65
462.00;14.61
465.00;13.07
468.00;11.20
471.00;14.67
474.00;9.99
477.00;12.69
480.00;12.45
483.00;13.78
486.00;11.74
489.00;15.98
492.00;14.83
495.00;14.10
498.00;11.49
501.00;9.13
504.00;8.59
507.00;10.10
510.00;8.74
513.00;9.08
516.00;4.28
519.00;9.00
522.00;11.72
525.00;10.22
528.00;6.77
531.00;5.36
534.00;8.05
537.00;9.02
540.00;5.81
543.00;6.22
546.00;8.03
549.00;5.08
552.00;4.98
555.00;7.43
558.00;5.98
561.00;2.32
564.00;2.87
567.00;5.54
570.00;7.30
573.00;9.27
576.00;5.05
579.00;5.12
582.00;4.81
585.00;4.99
588.00;7.75
591.00;1.13
594.00;4.43
597.00;3.16
600.00;5.53
603.00;4.37
606.00;4.26
609.00;5.86
612.00;4.73
615.00;3.22
618.00;2.22
621.00;4.94
624.00;4.72
627.00;4.27
630.00;3.56
633.00;1.30
636.00;2.45
639.00;4.81
642.00;6.44
645.00;4.34
648.00;1.75
651.00;0.53
654.00;3.49
657.00;9.28
660.00;8.28
663.00;8.31
666.00;3.11
669.00;0.17
672.00;6.64
675.00;5.16
678.00;7.41
681.00;1.82
684.00;7.45
687.00;1.54
690.00;6.36
693.00;4.02
696.00;6.91
699.00;3.89
