Time(s);IntInt
0.00;44.37
3.00;42.97
6.00;41.60
9.00;45.37
12.00;48.15
15.00;45.51
18.00;42.40
21.00;50.88
24.00;45.84
27.00;49.16
30.00;47.25
33.00;48.05
36.00;46.25
39.00;49.37
42.00;47.08
45.00;41.72
48.00;35.56
51.00;40.07
54.00;41.17
57.00;49.25
60.00;49.77
63.00;53.57
66.00;55.69
69.00;52.62
72.00;54.39
75.00;54.68
78.00;47.48
81.00;51.88
84.00;49.15
87.00;51.14
90.00;48.77
93.00;51.92
96.00;45.67
99.00;52.42
102.00;43.79
105.00;44.19
108.00;39.72
111.00;37.17
114.00;46.72
117.00;44.85
120.00;46.30
123.00;40.39
126.00;45.20
129.00;41.33
132.00;39.60
135.00;38.71
138.00;38.83
141.00;36.11
144.00;39.12
147.00;36.13
150.00;35.71
153.00;33.31
156.00;29.44
159.00;30.36
162.00;28.42
165.00;33.06
168.00;35.68
171.00;32.58
174.00;35.42
177.00;30.66
180.00;29.24
183.00;30.80
186.00;29.99
189.00;29.91
192.00;29.74
195.00;27.25
198.00;28.15
201.00;24.68
204.00;27.47
207.00;31.09
210.00;30.22
213.00;26.46
216.00;25.98
219.00;24.25
222.00;24.50
225.00;24.42
228.00;23.39
231.00;23.04
234.00;23.82
237.00;24.08
240.00;23.45
243.00;24.54
246.00;25.08
249.00;26.64
252.00;29.08
255.00;27.83
258.00;27.70
261.00;28.91
264.00;29.51
267.00;30.70
270.00;30.66
273.00;30.97
276.00;33.15
279.00;32.41
282.00;31.92
285.00;36.41
288.00;37.29
291.00;38.11
294.00;37.33
297.00;38.51
300.00;42.34
303.00;43.96
306.00;43.63
309.00;42.19
312.00;41.54
315.00;42.07
318.00;46.45
321.00;43.82
324.00;44.68
327.00;45.16
330.00;47.05
333.00;46.91
336.00;46.57
339.00;46.26
342.00;48.15
345.00;47.93
348.00;48.35
351.00;50.99
354.00;44.65
357.00;46.84
360.00;49.52
363.00;48.09
366.00;47.57
369.00;44.52
372.00;43.66
375.00;45.02
378.00;44.86
381.00;44.87
384.00;47.94
387.00;47.80
390.00;48.97
393.00;50.51
396.00;49.87
399.00;47.47
402.00;48.97
405.00;53.16
408.00;52.50
411.00;53.89
414.00;53.55
417.00;60.10
420.00;55.98
423.00;56.58
426.00;50.95
429.00;51.76
432.00;59.95
435.00;61.03
438.00;56.72
441.00;57.18
444.00;57.26
447.00;57.52
450.00;61.55
453.00;57.28
456.00;59.18
459.00;61.90
462.00;62.13
465.00;58.93
468.00;56.52
471.00;60.77
474.00;65.61
477.00;63.39
480.00;64.42
483.00;67.02
486.00;65.31
489.00;69.44
492.00;63.34
495.00;68.14
498.00;69.49
501.00;69.21
504.00;75.41
507.00;71.18
510.00;70.54
513.00;70.37
516.00;65.24
519.00;67.94
522.00;63.34
525.00;62.01
528.00;62.99
531.00;61.58
534.00;66.08
537.00;68.34
540.00;69.22
543.00;64.31
546.00;64.90
549.00;66.20
552.00;63.76
555.00;63.66
558.00;68.37
561.00;62.73
564.00;61.46
567.00;64.29
570.00;65.15
573.00;60.89
576.00;59.64
579.00;62.27
582.00;62.65
585.00;69.73
588.00;66.20
591.00;72.40
594.00;70.85
597.00;66.36
600.00;71.70
603.00;62.46
606.00;66.44
609.00;68.11
612.00;61.82
615.00;60.13
618.00;62.26
621.00;67.55
624.00;66.09
627.00;67.15
630.00;60.91
633.00;63.34
636.00;68.09
639.00;65.04
642.00;72.16
645.00;70.95
648.00;68.78
651.00;62.11
654.00;64.15
657.00;63.15
660.00;71.64
663.00;69.18
666.00;65.93
669.00;63.90
672.00;65.58
675.00;68.65
678.00;69.85
681.00;55.46
684.00;60.04
687.00;60.09
690.00;62.84
693.00;65.27
696.00;61.45
699.00;60.95
702.00;61.47
705.00;58.84
708.00;59.13
711.00;58.45
714.00;69.16
717.00;62.65
720.00;59.95
723.00;62.59
726.00;58.38
729.00;57.12
732.00;55.63
735.00;55.05
738.00;58.75
741.00;58.12
744.00;51.74
747.00;50.12
750.00;51.17
753.00;51.00
756.00;48.19
759.00;50.91
762.00;52.46
765.00;45.88
768.00;48.89
771.00;41.64
774.00;45.10
777.00;43.95
780.00;45.93
783.00;43.00
786.00;41.23
789.00;42.12
792.00;39.04
795.00;38.89
798.00;37.97
801.00;40.95
804.00;38.15
807.00;36.24
810.00;41.20
813.00;44.83
816.00;40.46
819.00;40.00
822.00;42.32
825.00;43.00
828.00;40.03
831.00;36.27
834.00;35.66
837.00;39.44
840.00;34.11
843.00;40.05
846.00;34.91
849.00;38.05
852.00;35.89
855.00;36.06
858.00;37.03
861.00;33.31
864.00;32.38
867.00;33.54
870.00;33.52
873.00;37.69
876.00;36.52
879.00;34.36
882.00;35.16
885.00;33.49
888.00;36.28
891.00;33.24
894.00;40.94
897.00;35.39
900.00;34.97
903.00;33.20
906.00;30.49
909.00;39.76
912.00;39.31
915.00;36.75
918.00;36.58
921.00;37.14
924.00;39.51
927.00;38.37
930.00;39.61
933.00;34.11
936.00;40.22
939.00;38.90
942.00;38.66
945.00;40.97
948.00;42.59
951.00;39.31
954.00;42.27
957.00;36.62
960.00;37.20
963.00;32.54
966.00;31.06
969.00;30.18
972.00;30.10
975.00;28.69
978.00;30.82
981.00;30.46
984.00;30.77
987.00;31.97
990.00;29.45
993.00;29.66
996.00;29.26
999.00;24.86
1002.00;22.75
1005.00;30.08
1008.00;24.95
1011.00;24.21
1014.00;25.61
1017.00;28.58
1020.00;26.64
1023.00;25.00
1026.00;27.71
1029.00;27.09
1032.00;25.10
1035.00;24.07
1038.00;25.49
1041.00;29.24
1044.00;25.34
1047.00;21.70
1050.00;17.86
1053.00;15.99
1056.00;16.53
1059.00;20.01
1062.00;20.68
1065.00;17.60
1068.00;19.04
1071.00;17.77
1074.00;15.80
1077.00;14.08
1080.00;16.47
1083.00;14.88
1086.00;14.72
1089.00;13.27
1092.00;15.97
1095.00;15.58
1098.00;14.65
1101.00;15.60
1104.00;13.42
1107.00;16.37
1110.00;13.70
1113.00;15.93
1116.00;20.36
1119.00;24.57
1122.00;22.07
1125.00;19.53
1128.00;15.07
1131.00;19.36
1134.00;17.37
1137.00;20.13
1140.00;19.62
1143.00;19.39
1146.00;22.22
1149.00;20.30
1152.00;20.30
1155.00;20.74
1158.00;18.38
1161.00;16.80
1164.00;19.08
1167.00;17.41
1170.00;18.02
1173.00;18.60
1176.00;17.18
1179.00;17.61
1182.00;19.50
1185.00;15.85
1188.00;17.80
1191.00;18.31
1194.00;21.34
1197.00;19.19
1200.00;21.56
1203.00;24.92
1206.00;20.47
1209.00;24.51
1212.00;17.50
1215.00;18.13
1218.00;17.18
1221.00;20.49
1224.00;18.26
1227.00;17.74
1230.00;20.42
1233.00;21.63
1236.00;20.28
1239.00;18.20
1242.00;16.65
1245.00;18.49
1248.00;13.93
1251.00;13.93
1254.00;17.24
1257.00;14.78
1260.00;15.78
1263.00;20.31
1266.00;19.53
1269.00;21.89
1272.00;21.91
1275.00;23.03
1278.00;21.83
1281.00;19.06
1284.00;22.93
1287.00;20.76
1290.00;24.63
1293.00;26.78
1296.00;25.23
1299.00;22.27
1302.00;19.96
1305.00;21.40
1308.00;22.06
1311.00;24.71
1314.00;23.22
1317.00;26.86
1320.00;25.63
1323.00;25.04
1326.00;27.24
1329.00;26.88
1332.00;24.74
1335.00;25.93
1338.00;25.64
1341.00;20.15
1344.00;24.55
1347.00;24.56
1350.00;21.85
1353.00;23.41
1356.00;21.09
1359.00;21.71
1362.00;25.24
1365.00;27.51
1368.00;25.27
1371.00;22.51
1374.00;22.55
1377.00;26.20
1380.00;23.86
1383.00;27.27
1386.00;21.96
1389.00;26.52
1392.00;21.64
1395.00;19.26
1398.00;24.36
1401.00;21.63
1404.00;22.25
1407.00;22.41
1410.00;23.40
1413.00;22.19
1416.00;21.18
1419.00;20.48
1422.00;24.37
1425.00;21.57
1428.00;23.09
1431.00;19.69
1434.00;23.57
1437.00;21.70
1440.00;25.82
1443.00;24.75
1446.00;25.29
1449.00;24.92
1452.00;26.05
1455.00;26.36
1458.00;27.78
1461.00;24.35
1464.00;25.31
1467.00;23.09
1470.00;24.19
1473.00;24.72
1476.00;26.19
1479.00;23.84
1482.00;26.73
1485.00;24.03
1488.00;28.47
1491.00;23.18
1494.00;24.39
1497.00;24.39
1500.00;23.22
1503.00;21.79
1506.00;22.65
1509.00;22.93
1512.00;24.33
1515.00;21.91
1518.00;20.16
1521.00;20.18
1524.00;20.35
1527.00;19.15
1530.00;19.23
1533.00;20.03
1536.00;23.21
1539.00;22.86
1542.00;21.50
1545.00;22.65
1548.00;22.59
1551.00;21.53
1554.00;22.71
1557.00;22.02
1560.00;24.12
1563.00;23.21
1566.00;19.58
1569.00;22.19
1572.00;22.82
1575.00;24.44
1578.00;24.90
1581.00;25.12
1584.00;23.70
1587.00;22.02
1590.00;22.91
1593.00;23.31
1596.00;26.86
1599.00;27.47
1602.00;24.03
1605.00;27.56
1608.00;28.09
1611.00;30.02
1614.00;27.63
1617.00;25.84
1620.00;27.98
1623.00;28.70
1626.00;28.28
1629.00;25.19
1632.00;29.14
1635.00;30.63
1638.00;29.74
1641.00;25.26
1644.00;30.49
1647.00;29.90
1650.00;29.28
1653.00;31.21
1656.00;35.07
1659.00;30.24
1662.00;32.27
1665.00;32.22
1668.00;31.68
1671.00;31.55
1674.00;33.80
1677.00;26.82
1680.00;29.82
1683.00;31.06
1686.00;25.21
1689.00;28.73
1692.00;31.50
1695.00;27.08
1698.00;28.05
1701.00;28.98
1704.00;29.93
1707.00;28.81
1710.00;29.19
1713.00;28.59
1716.00;28.97
1719.00;28.28
1722.00;26.26
1725.00;25.95
1728.00;24.99
1731.00;26.28
1734.00;21.58
1737.00;24.42
1740.00;21.84
1743.00;22.51
1746.00;21.14
1749.00;22.48
1752.00;23.36
1755.00;20.54
1758.00;19.04
1761.00;22.03
1764.00;20.81
1767.00;23.66
1770.00;22.36
1773.00;21.47
1776.00;24.71
1779.00;21.25
1782.00;23.52
1785.00;19.89
1788.00;20.56
1791.00;23.17
1794.00;20.87
1797.00;17.84
