Time(s);IntInt
0.00;44.71
3.00;48.14
6.00;48.99
9.00;49.53
12.00;53.20
15.00;49.35
18.00;55.62
21.00;52.08
24.00;49.15
27.00;53.49
30.00;51.81
33.00;54.61
36.00;47.54
39.00;59.18
42.00;55.94
45.00;55.79
48.00;56.06
51.00;60.15
54.00;60.95
57.00;64.79
60.00;60.49
63.00;62.34
66.00;59.13
69.00;58.11
72.00;53.20
75.00;60.61
78.00;60.68
81.00;52.57
84.00;61.76
87.00;60.43
90.00;59.08
93.00;59.92
96.00;55.13
99.00;60.95
102.00;59.37
105.00;56.99
108.00;57.99
111.00;55.25
114.00;56.00
117.00;53.81
120.00;56.48
123.00;54.04
126.00;49.77
129.00;52.22
132.00;53.18
135.00;53.40
138.00;51.92
141.00;52.36
144.00;50.53
147.00;48.44
150.00;45.61
153.00;45.50
156.00;43.85
159.00;42.48
162.00;39.55
165.00;43.00
168.00;35.65
171.00;40.48
174.00;37.01
177.00;38.58
180.00;34.89
183.00;37.95
186.00;34.51
189.00;33.93
192.00;35.10
195.00;31.44
198.00;32.82
201.00;32.94
204.00;31.12
207.00;30.40
210.00;29.07
213.00;32.20
216.00;31.04
219.00;31.57
222.00;28.50
225.00;31.73
228.00;27.88
231.00;30.61
234.00;29.14
237.00;28.54
240.00;27.51
243.00;27.55
246.00;29.10
249.00;29.07
252.00;27.55
255.00;28.84
258.00;29.55
261.00;28.04
264.00;29.92
267.00;30.03
270.00;32.08
273.00;29.14
276.00;31.91
279.00;32.03
282.00;33.95
285.00;36.67
288.00;35.63
291.00;32.62
294.00;34.88
297.00;35.27
300.00;36.07
303.00;37.78
306.00;35.79
309.00;39.38
312.00;38.60
315.00;41.51
318.00;38.20
321.00;36.67
324.00;34.86
327.00;34.50
330.00;36.09
333.00;41.92
336.00;37.19
339.00;38.01
342.00;35.16
345.00;32.22
348.00;33.79
351.00;35.11
354.00;35.75
357.00;36.56
360.00;37.67
363.00;39.23
366.00;38.95
369.00;39.40
372.00;36.79
375.00;31.37
378.00;31.70
381.00;36.16
384.00;39.36
387.00;42.32
390.00;39.63
393.00;40.27
396.00;37.96
399.00;39.46
402.00;41.05
405.00;39.52
408.00;38.52
411.00;39.87
414.00;39.13
417.00;40.10
420.00;47.13
423.00;40.75
426.00;46.91
429.00;43.49
432.00;45.61
435.00;46.78
438.00;45.71
441.00;46.48
444.00;50.17
447.00;43.23
450.00;48.31
453.00;50.58
456.00;50.24
459.00;49.55
462.00;48.97
465.00;48.77
468.00;49.15
471.00;47.39
474.00;47.63
477.00;47.95
480.00;51.55
483.00;49.53
486.00;53.53
489.00;54.90
492.00;57.02
495.00;45.63
498.00;43.20
501.00;47.37
504.00;46.58
507.00;47.86
510.00;54.23
513.00;50.49
516.00;55.54
519.00;54.67
522.00;58.08
525.00;61.50
528.00;56.81
531.00;52.33
534.00;50.88
537.00;47.72
540.00;52.96
543.00;48.10
546.00;54.65
549.00;51.19
552.00;44.33
555.00;48.60
558.00;46.18
561.00;44.13
564.00;37.96
567.00;38.13
570.00;45.84
573.00;41.85
576.00;42.43
579.00;45.71
582.00;45.78
585.00;45.73
588.00;44.26
591.00;45.49
594.00;41.79
597.00;37.22
600.00;45.97
603.00;42.09
606.00;47.89
609.00;36.73
612.00;45.98
615.00;44.24
618.00;37.65
621.00;46.01
624.00;47.57
627.00;46.59
630.00;45.80
633.00;41.21
636.00;48.91
639.00;46.73
642.00;51.63
645.00;47.39
648.00;50.88
651.00;49.54
654.00;39.29
657.00;43.32
660.00;46.88
663.00;44.31
666.00;47.46
669.00;47.35
672.00;47.17
675.00;41.40
678.00;40.39
681.00;45.75
684.00;43.13
687.00;42.11
690.00;49.09
693.00;46.60
696.00;43.51
699.00;42.40
702.00;38.65
705.00;40.44
708.00;48.35
711.00;38.03
714.00;43.29
717.00;44.56
720.00;44.57
723.00;43.63
726.00;48.41
729.00;49.69
732.00;51.23
735.00;46.70
738.00;50.84
741.00;46.83
744.00;50.61
747.00;53.17
750.00;50.01
753.00;47.13
756.00;51.48
759.00;46.78
762.00;50.50
765.00;49.45
768.00;54.53
771.00;49.80
774.00;51.11
777.00;48.63
780.00;48.51
783.00;55.03
786.00;48.85
789.00;48.09
792.00;54.03
795.00;47.99
798.00;51.49
801.00;44.32
804.00;43.17
807.00;50.57
810.00;45.06
813.00;50.66
816.00;46.16
819.00;44.40
822.00;46.82
825.00;49.04
828.00;45.71
831.00;43.33
834.00;48.85
837.00;49.40
840.00;49.13
843.00;46.77
846.00;48.43
849.00;49.71
852.00;54.45
855.00;50.58
858.00;47.47
861.00;48.73
864.00;44.75
867.00;48.38
870.00;49.82
873.00;47.83
876.00;48.44
879.00;42.53
882.00;39.53
885.00;48.56
888.00;46.92
891.00;47.23
894.00;45.59
897.00;39.61
900.00;43.38
903.00;39.75
906.00;40.77
909.00;45.48
912.00;40.65
915.00;40.58
918.00;37.05
921.00;36.27
924.00;35.55
927.00;35.93
930.00;35.41
933.00;37.99
936.00;39.72
939.00;41.09
942.00;45.96
945.00;42.18
948.00;46.16
951.00;42.56
954.00;46.50
957.00;42.85
960.00;40.99
963.00;41.79
966.00;44.22
969.00;40.89
972.00;39.14
975.00;44.67
978.00;42.64
981.00;46.25
984.00;49.57
987.00;43.24
990.00;39.84
993.00;42.86
996.00;43.55
999.00;46.51
1002.00;42.55
1005.00;43.96
1008.00;43.82
1011.00;39.51
1014.00;44.75
1017.00;43.39
1020.00;45.97
1023.00;49.20
1026.00;51.22
1029.00;48.27
1032.00;51.63
1035.00;54.35
1038.00;49.20
1041.00;48.11
1044.00;48.98
1047.00;50.91
1050.00;48.95
1053.00;52.57
1056.00;47.22
1059.00;41.22
1062.00;42.81
1065.00;44.41
1068.00;46.70
1071.00;49.78
1074.00;49.15
1077.00;48.13
1080.00;48.72
1083.00;53.31
1086.00;51.04
1089.00;52.92
1092.00;51.86
1095.00;52.94
1098.00;54.84
1101.00;51.19
1104.00;49.76
1107.00;51.85
1110.00;50.82
1113.00;49.94
1116.00;48.47
1119.00;53.16
1122.00;55.67
1125.00;55.19
1128.00;53.97
1131.00;58.03
1134.00;55.83
1137.00;57.74
1140.00;54.46
1143.00;57.34
1146.00;58.24
1149.00;60.62
1152.00;58.22
1155.00;60.02
1158.00;49.10
1161.00;56.53
1164.00;53.74
1167.00;53.61
1170.00;52.27
1173.00;53.28
1176.00;59.66
1179.00;55.81
1182.00;55.04
1185.00;56.20
1188.00;56.57
1191.00;59.33
1194.00;57.17
1197.00;58.42
1200.00;51.98
1203.00;58.23
1206.00;55.96
1209.00;55.73
1212.00;55.92
1215.00;55.15
1218.00;51.60
1221.00;52.44
1224.00;51.74
1227.00;56.13
1230.00;44.19
1233.00;42.66
1236.00;50.77
1239.00;46.67
1242.00;44.56
1245.00;43.58
1248.00;46.23
1251.00;45.36
1254.00;50.22
1257.00;48.46
1260.00;45.22
1263.00;46.32
1266.00;47.17
1269.00;43.95
1272.00;44.04
1275.00;41.56
1278.00;43.27
1281.00;45.90
1284.00;33.44
1287.00;33.32
1290.00;43.53
1293.00;45.27
1296.00;43.04
1299.00;39.14
1302.00;37.05
1305.00;36.95
1308.00;39.05
1311.00;38.04
1314.00;36.81
1317.00;34.58
1320.00;32.98
1323.00;34.14
1326.00;31.86
1329.00;33.48
1332.00;39.32
1335.00;36.65
1338.00;35.30
1341.00;38.69
1344.00;33.15
1347.00;35.65
1350.00;31.95
1353.00;31.74
1356.00;34.27
1359.00;34.86
1362.00;36.28
1365.00;41.29
1368.00;37.63
1371.00;32.25
1374.00;28.57
1377.00;33.34
1380.00;25.15
1383.00;35.09
1386.00;27.61
1389.00;27.91
1392.00;31.83
1395.00;31.61
1398.00;35.92
1401.00;36.44
1404.00;41.68
1407.00;37.61
1410.00;35.21
1413.00;37.02
1416.00;39.61
1419.00;38.25
1422.00;34.37
1425.00;36.37
1428.00;34.20
1431.00;38.78
1434.00;38.12
1437.00;34.86
1440.00;35.67
1443.00;35.18
1446.00;35.15
1449.00;37.50
1452.00;36.02
1455.00;30.88
1458.00;38.19
1461.00;32.67
1464.00;36.31
1467.00;36.11
1470.00;39.18
1473.00;35.24
1476.00;41.16
1479.00;37.76
1482.00;40.33
1485.00;40.32
1488.00;40.15
1491.00;40.07
1494.00;37.10
1497.00;44.09
1500.00;41.85
1503.00;45.69
1506.00;46.40
1509.00;42.92
1512.00;39.64
1515.00;38.94
1518.00;39.19
1521.00;39.03
1524.00;42.17
1527.00;38.63
1530.00;49.23
1533.00;47.15
1536.00;45.87
1539.00;41.49
1542.00;38.03
1545.00;40.93
1548.00;38.80
1551.00;38.45
1554.00;34.90
1557.00;31.88
1560.00;34.01
1563.00;34.51
1566.00;33.36
1569.00;23.28
1572.00;25.55
1575.00;28.59
1578.00;31.42
1581.00;28.18
1584.00;29.79
1587.00;25.14
1590.00;26.82
1593.00;23.35
1596.00;23.10
1599.00;23.10
1602.00;23.46
1605.00;23.13
1608.00;25.34
1611.00;20.51
1614.00;23.04
1617.00;18.66
1620.00;22.35
1623.00;21.73
1626.00;21.57
1629.00;18.54
1632.00;18.37
1635.00;20.35
1638.00;21.49
1641.00;19.38
1644.00;16.87
1647.00;19.42
1650.00;21.22
1653.00;18.06
1656.00;18.96
1659.00;18.35
1662.00;19.52
1665.00;14.45
1668.00;14.70
1671.00;16.11
1674.00;14.24
1677.00;16.50
1680.00;13.74
1683.00;14.01
1686.00;12.47
1689.00;14.58
1692.00;12.76
1695.00;12.10
1698.00;13.16
1701.00;11.44
1704.00;10.75
1707.00;11.44
1710.00;12.48
1713.00;13.42
1716.00;8.50
1719.00;7.94
1722.00;8.51
1725.00;8.34
1728.00;8.86
1731.00;7.22
1734.00;9.03
1737.00;4.20
1740.00;7.91
1743.00;8.35
1746.00;4.06
1749.00;6.81
1752.00;6.44
1755.00;6.75
1758.00;7.49
1761.00;7.95
1764.00;9.72
1767.00;6.40
1770.00;9.48
1773.00;7.29
1776.00;7.36
1779.00;7.58
1782.00;2.51
1785.00;6.98
1788.00;7.10
1791.00;5.40
1794.00;6.52
1797.00;5.37
