Time(s);IntInt
0.00;16.48
3.00;20.07
6.00;20.22
9.00;18.33
12.00;18.49
15.00;20.89
18.00;20.59
21.00;22.25
24.00;23.21
27.00;21.80
30.00;20.62
33.00;22.81
36.00;21.48
39.00;21.68
42.00;23.08
45.00;23.97
48.00;22.75
51.00;25.94
54.00;27.19
57.00;22.85
60.00;22.11
63.00;22.07
66.00;20.36
69.00;20.90
72.00;21.85
75.00;21.78
78.00;22.45
81.00;23.11
84.00;25.09
87.00;20.13
90.00;24.51
93.00;23.20
96.00;21.22
99.00;20.81
102.00;21.06
105.00;20.96
108.00;22.03
111.00;26.49
114.00;23.50
117.00;23.34
120.00;23.36
123.00;23.62
126.00;26.67
129.00;23.40
132.00;21.49
135.00;26.18
138.00;24.88
141.00;24.44
144.00;29.24
147.00;25.84
150.00;24.69
153.00;22.95
156.00;24.34
159.00;22.76
162.00;22.76
165.00;22.47
168.00;17.99
171.00;21.54
174.00;22.51
177.00;23.67
180.00;22.70
183.00;19.67
186.00;19.83
189.00;18.47
192.00;21.43
195.00;21.53
198.00;18.72
201.00;18.91
204.00;18.74
207.00;19.16
210.00;19.67
213.00;20.50
216.00;22.13
219.00;20.47
222.00;18.57
225.00;17.74
228.00;18.08
231.00;19.56
234.00;18.41
237.00;19.52
240.00;17.13
243.00;14.99
246.00;14.52
249.00;17.40
252.00;14.33
255.00;17.22
258.00;21.09
261.00;20.55
264.00;22.93
267.00;20.76
270.00;19.89
273.00;14.63
276.00;14.48
279.00;16.76
282.00;17.77
285.00;17.75
288.00;15.85
291.00;17.85
294.00;19.95
297.00;17.75
300.00;15.78
303.00;17.89
306.00;20.61
309.00;16.09
312.00;18.91
315.00;18.21
318.00;17.53
321.00;18.27
324.00;18.29
327.00;17.39
330.00;16.36
333.00;17.88
336.00;17.99
339.00;13.79
342.00;21.55
345.00;18.64
348.00;19.85
351.00;16.30
354.00;15.64
357.00;16.05
360.00;18.19
363.00;18.69
366.00;14.60
369.00;11.43
372.00;13.10
375.00;15.71
378.00;18.12
381.00;20.43
384.00;17.66
387.00;16.85
390.00;18.60
393.00;18.47
396.00;20.52
399.00;16.72
402.00;16.84
405.00;19.80
408.00;18.40
411.00;16.17
414.00;19.71
417.00;18.21
420.00;16.36
423.00;16.76
426.00;20.91
429.00;20.16
432.00;18.11
435.00;17.75
438.00;13.97
441.00;18.55
444.00;17.59
447.00;16.70
450.00;16.66
453.00;17.07
456.00;17.40
459.00;16.72
462.00;17.44
465.00;15.19
468.00;16.87
471.00;17.18
474.00;15.67
477.00;19.23
480.00;24.79
483.00;22.06
486.00;18.74
489.00;21.92
492.00;21.58
495.00;21.13
498.00;23.30
501.00;22.43
504.00;23.71
507.00;22.64
510.00;17.17
513.00;14.37
516.00;18.16
519.00;19.75
522.00;17.64
525.00;18.47
528.00;20.63
531.00;17.20
534.00;15.34
537.00;16.92
540.00;16.70
543.00;20.62
546.00;17.66
549.00;17.08
552.00;18.50
555.00;16.18
558.00;14.79
561.00;14.88
564.00;17.97
567.00;16.94
570.00;16.74
573.00;16.44
576.00;16.14
579.00;16.94
582.00;14.95
585.00;19.05
588.00;16.78
591.00;17.30
594.00;18.82
597.00;20.40
600.00;18.39
603.00;17.32
606.00;14.70
609.00;19.26
612.00;17.12
615.00;13.86
618.00;18.35
621.00;14.93
624.00;17.89
627.00;15.49
630.00;14.54
633.00;14.04
636.00;14.01
639.00;16.79
642.00;15.79
645.00;14.96
648.00;16.40
651.00;14.31
654.00;14.87
657.00;11.07
660.00;14.85
663.00;14.66
666.00;12.61
669.00;8.90
672.00;13.26
675.00;14.36
678.00;13.97
681.00;12.72
684.00;11.08
687.00;13.18
690.00;13.58
693.00;12.32
696.00;14.21
699.00;10.29
702.00;14.96
705.00;13.03
708.00;10.77
711.00;10.59
714.00;8.61
717.00;10.11
720.00;10.82
723.00;12.21
726.00;14.23
729.00;11.47
732.00;10.53
735.00;9.67
738.00;8.28
741.00;8.78
744.00;10.36
747.00;11.53
750.00;10.46
753.00;5.98
756.00;8.77
759.00;6.75
762.00;9.05
765.00;8.00
768.00;5.42
771.00;7.15
774.00;8.31
777.00;9.15
780.00;7.12
783.00;8.35
786.00;7.08
789.00;7.70
792.00;8.60
795.00;7.85
798.00;8.50
801.00;5.63
804.00;6.41
807.00;7.41
810.00;6.94
813.00;7.37
816.00;8.36
819.00;7.13
822.00;7.90
825.00;6.15
828.00;8.57
831.00;8.93
834.00;8.08
837.00;11.43
840.00;2.78
843.00;6.68
846.00;10.20
849.00;10.56
852.00;8.38
855.00;10.78
858.00;8.19
861.00;11.23
864.00;12.03
867.00;10.53
870.00;7.58
873.00;6.57
876.00;10.84
879.00;8.90
882.00;10.87
885.00;7.96
888.00;11.51
891.00;11.19
894.00;9.18
897.00;9.59
900.00;13.46
903.00;11.23
906.00;12.55
909.00;10.47
912.00;9.88
915.00;12.02
918.00;7.35
921.00;12.43
924.00;13.77
927.00;16.04
930.00;13.19
933.00;16.23
936.00;11.77
939.00;12.14
942.00;9.04
945.00;15.00
948.00;12.91
951.00;11.79
954.00;14.23
957.00;15.55
960.00;12.60
963.00;11.30
966.00;10.80
969.00;11.66
972.00;10.56
975.00;15.19
978.00;14.60
981.00;11.13
984.00;11.74
987.00;13.11
990.00;12.25
993.00;11.25
996.00;11.59
999.00;15.35
1002.00;15.78
1005.00;13.95
1008.00;13.13
1011.00;15.65
1014.00;15.54
1017.00;14.83
1020.00;14.14
1023.00;13.43
1026.00;13.98
1029.00;14.15
1032.00;13.08
1035.00;11.11
1038.00;13.51
1041.00;14.83
1044.00;13.46
1047.00;12.54
1050.00;15.11
1053.00;12.14
1056.00;12.48
1059.00;15.79
1062.00;14.13
1065.00;13.18
1068.00;14.02
1071.00;15.10
1074.00;14.94
1077.00;16.25
1080.00;13.55
1083.00;15.73
1086.00;17.10
1089.00;17.72
1092.00;16.09
1095.00;14.09
1098.00;12.39
1101.00;15.88
1104.00;14.85
1107.00;13.46
1110.00;15.25
1113.00;10.80
1116.00;11.32
1119.00;9.33
1122.00;15.64
1125.00;15.53
1128.00;15.62
1131.00;14.41
1134.00;14.47
1137.00;12.39
