Time(s);IntInt
0.00;53.45
3.00;53.49
6.00;51.43
9.00;51.30
12.00;50.81
15.00;47.20
18.00;45.86
21.00;49.42
24.00;54.22
27.00;55.31
30.00;56.33
33.00;56.27
36.00;51.56
39.00;51.38
42.00;50.32
45.00;50.61
48.00;54.09
51.00;52.56
54.00;54.41
57.00;47.03
60.00;55.15
63.00;50.48
66.00;48.54
69.00;51.52
72.00;50.27
75.00;51.30
78.00;49.66
81.00;46.86
84.00;49.80
87.00;46.23
90.00;43.95
93.00;47.75
96.00;49.04
99.00;46.27
102.00;49.29
105.00;48.01
108.00;44.44
111.00;40.36
114.00;44.67
117.00;44.13
120.00;43.80
123.00;48.52
126.00;46.33
129.00;44.85
132.00;40.82
135.00;43.68
138.00;41.36
141.00;38.33
144.00;45.37
147.00;46.01
150.00;39.68
153.00;43.67
156.00;40.78
159.00;36.87
162.00;38.44
165.00;36.47
168.00;37.49
171.00;37.77
174.00;37.25
177.00;36.84
180.00;34.54
183.00;34.13
186.00;33.45
189.00;35.09
192.00;32.95
195.00;27.90
198.00;33.78
201.00;28.94
204.00;28.55
207.00;32.95
210.00;33.65
213.00;38.94
216.00;36.62
219.00;37.82
222.00;37.09
225.00;38.93
228.00;35.53
231.00;40.41
234.00;38.65
237.00;40.88
240.00;43.00
243.00;38.69
246.00;46.82
249.00;39.91
252.00;45.31
255.00;39.54
258.00;41.67
261.00;32.68
264.00;41.03
267.00;44.50
270.00;39.76
273.00;36.02
276.00;40.97
279.00;40.51
282.00;39.54
285.00;32.88
288.00;38.28
291.00;36.66
294.00;36.87
297.00;35.22
300.00;37.83
303.00;42.04
306.00;44.37
309.00;39.47
312.00;41.24
315.00;38.12
318.00;40.19
321.00;39.26
324.00;41.44
327.00;38.85
330.00;40.25
333.00;36.65
336.00;39.10
339.00;44.17
342.00;42.12
345.00;46.04
348.00;42.55
351.00;43.97
354.00;45.59
357.00;39.44
360.00;42.76
363.00;38.16
366.00;43.31
369.00;39.43
372.00;38.18
375.00;36.90
378.00;35.05
381.00;35.19
384.00;35.20
387.00;39.61
390.00;38.95
393.00;44.90
396.00;43.98
399.00;39.24
402.00;43.13
405.00;42.15
408.00;40.70
411.00;40.65
414.00;40.96
417.00;40.70
420.00;43.30
423.00;41.22
426.00;42.11
429.00;42.92
432.00;45.18
435.00;44.89
438.00;40.13
441.00;40.78
444.00;48.82
447.00;48.35
450.00;50.09
453.00;51.01
456.00;50.27
459.00;50.51
462.00;55.33
465.00;51.75
468.00;53.56
471.00;51.09
474.00;51.52
477.00;52.84
480.00;56.45
483.00;50.80
486.00;49.87
489.00;47.07
492.00;50.81
495.00;59.09
498.00;54.52
501.00;47.49
504.00;51.27
507.00;54.64
510.00;49.54
513.00;49.54
516.00;45.28
519.00;44.53
522.00;50.51
525.00;48.97
528.00;47.75
531.00;48.00
534.00;47.45
537.00;43.21
540.00;46.05
543.00;44.97
546.00;47.17
549.00;47.65
552.00;46.54
555.00;43.77
558.00;45.80
561.00;47.77
564.00;46.43
567.00;40.40
570.00;40.65
573.00;45.25
576.00;43.43
579.00;42.56
582.00;46.85
585.00;47.54
588.00;52.27
591.00;48.11
594.00;41.57
597.00;42.12
600.00;43.27
603.00;42.23
606.00;44.25
609.00;44.96
612.00;40.98
615.00;43.63
618.00;48.04
621.00;44.26
624.00;42.57
627.00;42.73
630.00;45.58
633.00;43.03
636.00;42.00
639.00;44.62
642.00;46.09
645.00;47.11
648.00;49.66
651.00;49.91
654.00;48.02
657.00;47.98
660.00;46.23
663.00;47.23
666.00;47.51
669.00;45.83
672.00;46.80
675.00;46.54
678.00;49.32
681.00;49.96
684.00;49.76
687.00;53.56
690.00;47.70
693.00;48.42
696.00;47.01
699.00;52.40
702.00;56.01
705.00;53.41
708.00;56.07
711.00;50.26
714.00;48.76
717.00;54.92
720.00;50.41
723.00;50.13
726.00;56.37
729.00;52.42
732.00;50.97
735.00;56.19
738.00;55.58
741.00;53.02
744.00;52.58
747.00;52.05
750.00;43.66
753.00;51.08
756.00;45.52
759.00;41.34
762.00;46.21
765.00;47.71
768.00;50.27
771.00;54.70
774.00;56.93
777.00;53.35
780.00;47.09
783.00;48.47
786.00;50.92
789.00;44.54
792.00;52.25
795.00;48.65
798.00;53.85
801.00;52.88
804.00;47.70
807.00;39.90
810.00;45.03
813.00;46.20
816.00;46.29
819.00;41.72
822.00;45.75
825.00;47.46
828.00;41.26
831.00;45.99
834.00;44.94
837.00;37.29
840.00;36.62
843.00;43.42
846.00;42.81
849.00;45.07
852.00;40.14
855.00;38.60
858.00;41.35
861.00;38.83
864.00;41.79
867.00;45.46
870.00;44.61
873.00;45.10
876.00;47.35
879.00;41.82
882.00;43.57
885.00;47.37
888.00;46.32
891.00;50.69
894.00;46.71
897.00;48.87
900.00;49.84
903.00;43.12
906.00;48.20
909.00;46.60
912.00;50.70
915.00;41.91
918.00;46.61
921.00;43.60
924.00;45.37
927.00;51.27
930.00;47.95
933.00;47.09
936.00;45.44
939.00;47.51
942.00;46.48
945.00;41.00
948.00;42.41
951.00;46.48
954.00;44.88
957.00;46.86
960.00;46.09
963.00;44.02
966.00;42.07
969.00;43.89
972.00;46.40
975.00;40.35
978.00;45.57
981.00;46.10
984.00;45.26
987.00;46.37
990.00;45.78
993.00;47.89
996.00;42.07
999.00;42.64
1002.00;40.80
1005.00;39.71
1008.00;43.00
1011.00;46.40
1014.00;45.26
1017.00;45.53
1020.00;46.78
1023.00;45.93
1026.00;41.88
1029.00;44.88
1032.00;44.62
1035.00;47.18
1038.00;52.00
1041.00;51.96
1044.00;47.00
1047.00;44.81
1050.00;45.95
1053.00;45.11
1056.00;47.60
1059.00;45.19
1062.00;41.07
1065.00;46.47
1068.00;46.09
1071.00;38.54
1074.00;44.31
1077.00;43.34
1080.00;41.19
1083.00;42.16
1086.00;38.78
1089.00;44.69
1092.00;43.48
1095.00;40.84
1098.00;40.06
1101.00;44.83
1104.00;41.60
1107.00;42.31
1110.00;41.34
1113.00;41.08
1116.00;38.15
1119.00;42.99
1122.00;47.58
1125.00;44.11
1128.00;43.03
1131.00;43.64
1134.00;40.99
1137.00;41.58
1140.00;39.33
1143.00;41.96
1146.00;42.50
1149.00;42.18
1152.00;41.91
1155.00;36.52
1158.00;36.25
1161.00;31.19
1164.00;37.88
1167.00;37.36
1170.00;39.19
1173.00;42.65
1176.00;40.79
1179.00;40.09
1182.00;39.01
1185.00;45.26
1188.00;46.26
1191.00;44.22
1194.00;45.54
1197.00;47.89
1200.00;49.29
1203.00;44.79
1206.00;47.37
1209.00;43.51
1212.00;41.29
1215.00;39.83
1218.00;40.16
1221.00;42.36
1224.00;38.98
1227.00;39.12
1230.00;39.82
1233.00;43.64
1236.00;43.81
1239.00;43.40
1242.00;44.82
1245.00;41.73
1248.00;40.68
1251.00;41.40
1254.00;35.98
1257.00;34.85
1260.00;40.31
1263.00;43.66
1266.00;39.45
1269.00;38.28
1272.00;39.13
1275.00;37.93
1278.00;42.90
1281.00;35.84
1284.00;38.67
1287.00;41.39
1290.00;44.19
1293.00;44.51
1296.00;39.94
1299.00;38.02
1302.00;43.74
1305.00;36.67
1308.00;37.01
1311.00;36.77
1314.00;35.55
1317.00;36.98
1320.00;36.28
1323.00;37.56
1326.00;35.17
1329.00;35.10
1332.00;40.21
1335.00;38.36
1338.00;35.62
1341.00;32.08
1344.00;35.19
1347.00;36.75
1350.00;38.87
1353.00;34.46
1356.00;29.54
1359.00;32.84
1362.00;32.05
1365.00;35.23
1368.00;35.00
1371.00;29.73
1374.00;31.28
1377.00;30.73
1380.00;32.82
1383.00;35.91
1386.00;33.03
1389.00;33.27
1392.00;34.25
1395.00;36.07
1398.00;34.31
1401.00;30.07
1404.00;32.42
1407.00;26.86
1410.00;26.83
1413.00;27.75
1416.00;32.52
1419.00;29.96
1422.00;32.52
1425.00;26.59
1428.00;22.57
1431.00;33.23
1434.00;32.45
1437.00;36.25
1440.00;31.42
1443.00;34.03
1446.00;35.47
1449.00;37.73
1452.00;37.63
1455.00;39.03
1458.00;42.45
1461.00;36.24
1464.00;33.52
1467.00;34.75
1470.00;31.74
1473.00;39.35
1476.00;38.61
1479.00;40.92
1482.00;37.20
1485.00;33.07
1488.00;36.02
1491.00;36.60
1494.00;37.71
1497.00;32.66
1500.00;32.40
1503.00;33.30
1506.00;28.70
1509.00;34.28
1512.00;34.65
1515.00;34.89
1518.00;38.99
1521.00;36.13
1524.00;37.24
1527.00;36.78
1530.00;34.01
1533.00;36.75
1536.00;31.63
1539.00;31.72
1542.00;38.29
1545.00;36.23
1548.00;32.19
1551.00;33.57
1554.00;29.98
1557.00;26.65
1560.00;25.94
1563.00;27.87
1566.00;29.20
1569.00;32.86
1572.00;27.86
1575.00;26.45
1578.00;19.21
1581.00;29.06
1584.00;28.34
1587.00;24.54
1590.00;27.53
1593.00;25.93
1596.00;31.92
1599.00;27.71
1602.00;23.79
1605.00;23.62
1608.00;25.79
1611.00;26.59
1614.00;29.53
1617.00;29.11
1620.00;31.45
1623.00;29.16
1626.00;29.66
1629.00;32.49
1632.00;32.08
1635.00;27.78
1638.00;23.14
1641.00;26.39
1644.00;22.19
1647.00;24.95
1650.00;20.81
1653.00;19.75
1656.00;18.33
1659.00;21.18
1662.00;20.19
1665.00;21.20
1668.00;14.67
1671.00;13.64
1674.00;15.53
1677.00;15.40
1680.00;17.58
1683.00;15.91
1686.00;11.46
1689.00;13.24
1692.00;12.53
1695.00;11.05
1698.00;10.13
1701.00;10.39
1704.00;11.00
1707.00;9.67
1710.00;8.86
1713.00;10.23
1716.00;11.25
1719.00;12.48
1722.00;10.30
1725.00;12.58
1728.00;10.48
1731.00;13.81
1734.00;14.69
1737.00;12.37
1740.00;14.98
1743.00;20.66
1746.00;16.27
1749.00;15.35
1752.00;16.60
1755.00;13.66
1758.00;12.00
1761.00;14.42
1764.00;19.37
1767.00;19.32
1770.00;19.73
1773.00;21.64
1776.00;17.34
1779.00;21.97
1782.00;19.73
1785.00;23.74
1788.00;19.53
1791.00;22.69
1794.00;25.53
1797.00;23.69
